location,price,bedrooms,bathrooms,floors,lands,realestate_category,type,link,sangkat,khan,city/provice,lat,lon
"Boeung Kak 1, Toul Kork, Phnom Penh",62000,1,1,50,,Condo,buy,https://www.realestate.com.kh/buy/boeung-kak-1/1-bed-1-bath-condo-232232/,Boeung Kak 1,Toul Kork,Phnom Penh,11.5738692,104.8996872
"Siem Reap, Siem Reap, Siem Reap",1700000,10,13,,,House,buy,https://www.realestate.com.kh/buy/siem-reap/10-bed-13-bath-house-231608/,Siem Reap,Siem Reap,Siem Reap,13.3617562,103.8590321
"Chroy Changvar, Chroy Changvar, Phnom Penh",92000,1,1,52,,Studio,buy,https://www.realestate.com.kh/buy/chroy-changvar/1-bed-1-bath-studio-231452/,Chroy Changvar,Chroy Changvar,Phnom Penh,11.5823106,104.9344762
"Boeng Keng Kang 3, Chamkarmon, Phnom Penh",2800000,27,,,465,Apartment,buy,https://www.realestate.com.kh/buy/bkk-3/27-bed-apartment-231443/,Boeng Keng Kang 3,Chamkarmon,Phnom Penh,11.5477265,104.9407431
"Boeung Tumpun, Meanchey, Phnom Penh",73000,,1,58,,Condo,buy,https://www.realestate.com.kh/buy/boeung-tumpun/1-bath-condo-231116/,Boeung Tumpun,Meanchey,Phnom Penh,13.104489,103.1978242
"240 St, Boeng Reang, Daun Penh, Phnom Penh",250000,,2,,128,Apartment,buy,https://www.realestate.com.kh/buy/boeng-reang/240-st-231244/,Boeng Reang,Daun Penh,Phnom Penh,,
"Boeung Kak 2, Toul Kork, Phnom Penh",2250000,4,5,,789,Villa,buy,https://www.realestate.com.kh/buy/boeung-kak-2/4-bed-5-bath-villa-231186/,Boeung Kak 2,Toul Kork,Phnom Penh,11.5738692,104.8996872
"Boeng Keng Kang 3, Chamkarmon, Phnom Penh",105000,2,2,84,,Condo,buy,https://www.realestate.com.kh/buy/bkk-3/2-bed-2-bath-condo-231185/,Boeng Keng Kang 3,Chamkarmon,Phnom Penh,11.5477265,104.9407431
"Dangkao, Dangkao, Phnom Penh",125,,,,3213,Land,buy,https://www.realestate.com.kh/buy/dangkao/land-231184/,Dangkao,Dangkao,Phnom Penh,11.5057732,104.891422
"Boeung Tumpun, Meanchey, Phnom Penh",100000,2,2,90,,Condo,buy,https://www.realestate.com.kh/buy/boeung-tumpun/2-bed-2-bath-condo-231183/,Boeung Tumpun,Meanchey,Phnom Penh,13.104489,103.1978242
"Tonle Bassac, Chamkarmon, Phnom Penh",300000,3,2,127,,Condo,buy,https://www.realestate.com.kh/buy/tonle-bassac/3-bed-2-bath-condo-231138/,Tonle Bassac,Chamkarmon,Phnom Penh,11.5477265,104.9407431
"Ou Baek K'am, Sen Sok, Phnom Penh",185000,2,2,9523,,Condo,buy,https://www.realestate.com.kh/buy/ou-baek-kam/2-bed-2-bath-condo-231136/,Ou Baek K'am,Sen Sok,Phnom Penh,37.651036,30.5361664
"Tonle Bassac, Chamkarmon, Phnom Penh",65000,1,1,47,,Condo,buy,https://www.realestate.com.kh/buy/tonle-bassac/1-bed-1-bath-condo-231080/,Tonle Bassac,Chamkarmon,Phnom Penh,11.5477265,104.9407431
"Nirouth, Chbar Ampov, Phnom Penh",210000,4,5,81,81,Flat,buy,https://www.realestate.com.kh/buy/nirouth/4-bed-5-bath-flat-house-230991/,Nirouth,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Preaek Ta Sek, Chroy Changvar, Phnom Penh",340000,4,5,,176,Shophouse,buy,https://www.realestate.com.kh/buy/preaek-ta-sek/4-bed-5-bath-shophouse-230414/,Preaek Ta Sek,Chroy Changvar,Phnom Penh,11.5823106,104.9344762
"Sangkat Bei, Sihanoukville, Sihanoukville",220000,2,2,104,,Apartment,buy,https://www.realestate.com.kh/buy/sangkat-bei/2-bed-2-bath-apartment-230399/,Sangkat Bei,Sihanoukville,Sihanoukville,10.50614075,103.26205644863938
"Sangkat Pir, Sihanoukville, Sihanoukville",79500,2,1,63,,Apartment,buy,https://www.realestate.com.kh/buy/sangkat-pir/2-bed-1-bath-apartment-230393/,Sangkat Pir,Sihanoukville,Sihanoukville,10.50614075,103.26205644863938
"Sala Kamraeuk, Siem Reap, Siem Reap",772800,,,,2208,Land,buy,https://www.realestate.com.kh/buy/sala-kamraeuk/land-230356/,Sala Kamraeuk,Siem Reap,Siem Reap,13.3617562,103.8590321
"Tuol Sangkae 2, Russey Keo, Phnom Penh",2400000,9,10,,1022,Villa,buy,https://www.realestate.com.kh/buy/tuol-sangkae-2/9-bed-10-bath-villa-230347/,Tuol Sangkae 2,Russey Keo,Phnom Penh,48.8381569,2.7172109621479024
Arakawa Residence,60000,2,1,46,,Condo,buy,https://www.realestate.com.kh/new-developments/arakawa-residence/2-bed-1-bath-condo-230337/,,,,,
"Tuol Sangkae 2, Russey Keo, Phnom Penh",2400000,9,10,945,1008,Villa,buy,https://www.realestate.com.kh/buy/tuol-sangkae-2/9-bed-10-bath-villa-230215/,Tuol Sangkae 2,Russey Keo,Phnom Penh,48.8381569,2.7172109621479024
"Sangkat Bei, Sihanoukville, Sihanoukville",195000,2,2,130,,Apartment,buy,https://www.realestate.com.kh/buy/sangkat-bei/2-bed-2-bath-apartment-230213/,Sangkat Bei,Sihanoukville,Sihanoukville,10.50614075,103.26205644863938
"Chroy Changvar, Chroy Changvar, Phnom Penh",65000,1,1,62,,Condo,buy,https://www.realestate.com.kh/buy/chroy-changvar/1-bed-1-bath-condo-230149/,Chroy Changvar,Chroy Changvar,Phnom Penh,11.5823106,104.9344762
"Boeung Prolit, 7 Makara, Phnom Penh",75000,1,1,,65,Condo,buy,https://www.realestate.com.kh/buy/boeung-prolit/1-bed-1-bath-condo-230146/,Boeung Prolit,7 Makara,Phnom Penh,11.5495588,104.9272305
"Boeung Prolit, 7 Makara, Phnom Penh",78000,1,1,,72,Condo,buy,https://www.realestate.com.kh/buy/boeung-prolit/1-bed-1-bath-condo-230145/,Boeung Prolit,7 Makara,Phnom Penh,11.5495588,104.9272305
"Chbar Ampov I, Chbar Ampov, Phnom Penh",570000,4,5,72,154,Twin,buy,https://www.realestate.com.kh/buy/chbar-ampov-i/4-bed-5-bath-twin-villa-230143/,Chbar Ampov I,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Chak Angrae Leu, Meanchey, Phnom Penh",260000,4,5,72,108,Twin,buy,https://www.realestate.com.kh/buy/chak-angrae-leu/4-bed-5-bath-twin-villa-230141/,Chak Angrae Leu,Meanchey,Phnom Penh,13.104489,103.1978242
"Boeung Kak 1, Toul Kork, Phnom Penh",2100000,8,7,,627,House,buy,https://www.realestate.com.kh/buy/boeung-kak-1/8-bed-7-bath-house-230091/,Boeung Kak 1,Toul Kork,Phnom Penh,11.5738692,104.8996872
"Tonle Bassac, Chamkarmon, Phnom Penh",13000000,,,,2767,Land,buy,https://www.realestate.com.kh/buy/tonle-bassac/norodom-blvd-230014/,Tonle Bassac,Chamkarmon,Phnom Penh,11.5477265,104.9407431
"Preaek Aeng, Chbar Ampov, Phnom Penh",2800000,6,8,2250,6600,Villa,buy,https://www.realestate.com.kh/buy/preaek-aeng/6-bed-8-bath-villa-230013/,Preaek Aeng,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Tonle Bassac, Chamkarmon, Phnom Penh",1100000,4,5,240,303,Villa,buy,https://www.realestate.com.kh/buy/tonle-bassac/4-bed-5-bath-villa-230011/,Tonle Bassac,Chamkarmon,Phnom Penh,11.5477265,104.9407431
