Date,Squad,Venue,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Name
2023-04-16,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,1,0,32,39,82.1,0,27,0,0,0,David de Gea
2023-04-20,eng Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,28,0,1,0,0.0,0.0,0.0,0,0,20,24,83.3,0,18,0,0,0,David de Gea
2023-04-27,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,24,41,58.5,0,32,0,0,0,David de Gea
2023-04-30,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,18,25,72.0,0,7,0,0,0,David de Gea
2023-05-04,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,21,41,51.2,0,25,0,0,0,David de Gea
2023-05-07,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,32,40,80.0,0,23,0,0,0,David de Gea
2023-05-13,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,14,28,50.0,0,16,0,0,0,David de Gea
2023-05-20,Manchester Utd,Away,Y,GK,90,0,0,0,0,0,0,0,0,28,0,1,0,0.0,0.0,0.0,0,0,16,25,64.0,0,16,0,0,0,David de Gea
2023-05-25,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,25,30,83.3,0,16,0,0,0,David de Gea
2023-05-28,Manchester Utd,Home,Y,GK,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,23,30,76.7,0,13,0,0,0,David de Gea
2022-08-07,Manchester Utd,Home,Y,LM,89,0,0,0,0,1,0,0,0,78,0,0,2,0.2,0.2,0.3,4,0,55,72,76.4,16,46,6,3,2,Bruno Fernandes
2022-08-13,Manchester Utd,Away,Y,AM,90,0,0,0,0,3,0,1,0,67,2,3,1,0.1,0.1,0.0,1,0,47,57,82.5,7,35,1,0,0,Bruno Fernandes
2022-08-22,Manchester Utd,Home,Y*,"AM,RW",90,0,0,0,0,1,1,1,0,58,3,3,2,0.4,0.4,0.3,4,0,26,40,65.0,6,28,2,1,0,Bruno Fernandes
2022-08-27,Manchester Utd,Away,Y*,"AM,RW",90,1,0,0,0,5,2,0,0,51,1,0,0,0.6,0.6,0.0,3,0,26,40,65.0,7,27,2,1,1,Bruno Fernandes
2022-09-01,Manchester Utd,Away,Y*,"AM,RW",90,0,0,0,0,0,0,0,0,72,3,0,1,0.0,0.0,0.3,4,0,44,62,71.0,12,43,5,4,1,Bruno Fernandes
2022-09-04,Manchester Utd,Home,Y*,"AM,RW",90,0,1,0,0,1,1,0,0,37,1,1,1,0.3,0.3,0.4,3,2,22,31,71.0,3,22,0,0,0,Bruno Fernandes
2022-09-08,eng Manchester Utd,Home,N,AM,45,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.3,3,0,18,24,75.0,2,15,0,0,0,Bruno Fernandes
2022-09-15,eng Manchester Utd,Away,Y*,AM,90,0,0,0,0,2,1,0,0,59,1,0,1,0.2,0.2,0.0,4,0,39,50,78.0,2,40,4,3,2,Bruno Fernandes
2022-10-02,Manchester Utd,Away,Y*,"AM,LW",90,0,0,0,0,2,1,1,0,52,1,0,2,0.0,0.0,0.0,2,0,33,44,75.0,2,29,3,2,1,Bruno Fernandes
2022-10-06,eng Manchester Utd,Away,Y*,AM,60,0,0,0,0,5,1,0,0,67,1,0,0,0.6,0.6,0.1,9,1,51,58,87.9,4,43,1,0,0,Bruno Fernandes
2022-10-09,Manchester Utd,Away,Y*,AM,90,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.1,4,1,38,49,77.6,6,33,4,1,1,Bruno Fernandes
2022-10-13,eng Manchester Utd,Home,Y*,AM,90,0,0,0,0,5,1,0,0,100,1,2,2,0.6,0.6,0.9,12,0,64,83,77.1,12,58,2,4,1,Bruno Fernandes
