,location,price,bedrooms,bathrooms,floors,lands,realestate_category,type,link
1669," Svay Dankum, Siem Reap, Siem Reap",$250permonth,1,1.0,,,Apartment,rent,https://www.realestate.com.kh/rent/svay-dankum/1-bed-1-bath-apartment-216160/
1670," Svay Dankum, Siem Reap, Siem Reap",$250permonth,1,1.0,,,Apartment,rent,https://www.realestate.com.kh/rent/svay-dankum/1-bed-1-bath-apartment-216157/
1671," Svay Dankum, Siem Reap, Siem Reap",$600permonth,5,6.0,,,House,rent,https://www.realestate.com.kh/rent/svay-dankum/5-bed-6-bath-house-216113/
1672," Sala Kamraeuk, Siem Reap, Siem Reap",$450permonth,2,2.0,,,House,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/2-bed-2-bath-house-216100/
1673,"Boeung Kak 2, Toul Kork, Phnom Penh",$450permonth,1,1.0,,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-kak-2/1-bed-1-bath-apartment-215941/
1674,"Tonle Bassac, Chamkarmon, Phnom Penh","$1,300permonth",2,3.0,,,Apartment,rent,https://www.realestate.com.kh/rent/tonle-bassac/2-bed-3-bath-apartment-215935/
1675,SunCity Serviced Apartment,"$2,500permonth",2,2.0,110,,Serviced,rent,https://www.realestate.com.kh/new-developments/suncity-serviced-apartment/2-bed-2-bath-serviced-apartment-215859/
1676,Tulip Apartment,"$1,250permonth",1,1.0,75,,Serviced,rent,https://www.realestate.com.kh/new-developments/tulip-apartment/1-bed-1-bath-serviced-apartment-215844/
1677,Tulip Apartment,"$1,050permonth",1,1.0,75,,Serviced,rent,https://www.realestate.com.kh/new-developments/tulip-apartment/1-bed-1-bath-serviced-apartment-215843/
1678,Helen Fin Inn & Apartment,$650permonth,1,1.0,45,,Serviced,rent,https://www.realestate.com.kh/new-developments/helen-fin-inn-apartment/1-bed-1-bath-serviced-apartment-215838/
1679," Siem Reap, Siem Reap, Siem Reap","$3,500permonth",5,6.0,,,House,rent,https://www.realestate.com.kh/rent/siem-reap/5-bed-6-bath-house-215836/
1680,The Sokhom Residence,$600permonth,1,1.0,80,,Serviced,rent,https://www.realestate.com.kh/new-developments/the-sokhom-residence/1-bed-1-bath-serviced-apartment-215835/
1681,The Sokhom Residence,"$3,500permonth",3,3.0,250,,Serviced,rent,https://www.realestate.com.kh/new-developments/the-sokhom-residence/3-bed-3-bath-serviced-apartment-215821/
1682,The Sokhom Residence,"$1,100permonth",2,2.0,80,,Serviced,rent,https://www.realestate.com.kh/new-developments/the-sokhom-residence/2-bed-2-bath-serviced-apartment-215820/
1683," Sala Kamraeuk, Siem Reap, Siem Reap",$500permonth,3,3.0,,,House,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/3-bed-3-bath-house-215816/
1684,,"$1,200permonth",2,2.0,98,,Serviced,rent,https://www.realestate.com.kh/rent/toul-svay-prey-1/2-bed-2-bath-serviced-apartment-215795/
1685," Kouk Chak, Siem Reap, Siem Reap",$300permonth,1,1.0,,,Apartment,rent,https://www.realestate.com.kh/rent/kouk-chak/1-bed-1-bath-apartment-215774/
1686," Kouk Chak, Siem Reap, Siem Reap",$450permonth,2,2.0,,,Apartment,rent,https://www.realestate.com.kh/rent/kouk-chak/2-bed-2-bath-apartment-215773/
1687," Kouk Chak, Siem Reap, Siem Reap","$1,500permonth",6,8.0,,,House,rent,https://www.realestate.com.kh/rent/kouk-chak/6-bed-8-bath-house-215771/
1688," Svay Dankum, Siem Reap, Siem Reap",$300permonth,3,3.0,,,Apartment,rent,https://www.realestate.com.kh/rent/svay-dankum/3-bed-3-bath-apartment-215766/
1689,,$700permonth,1,1.0,60,,Serviced,rent,https://www.realestate.com.kh/rent/toul-svay-prey-1/1-bed-1-bath-serviced-apartment-215749/
1690,Helen Fin Inn & Apartment,$600permonth,1,1.0,35,,Serviced,rent,https://www.realestate.com.kh/new-developments/helen-fin-inn-apartment/1-bed-1-bath-serviced-apartment-215740/
1691,"Sala Kamraeuk, Siem Reap, Siem Reap",$650permonth,2,2.0,,,Apartment,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/svay-village-wat-215704/
1692," Veal Vong, 7 Makara, Phnom Penh",$850permonth,2,2.0,75,105.0,Condo,rent,https://www.realestate.com.kh/buy/veal-vong/2-bed-2-bath-condo-215441/
1693,"Phnom Penh Thmey, Sen Sok, Phnom Penh",$730permonth,7,8.0,,,Apartment,rent,https://www.realestate.com.kh/rent/phnom-penh-thmey/7-bed-8-bath-apartment-215250/
1694," Sala Kamraeuk, Siem Reap, Siem Reap",$600permonth,,,,,Land,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/land-214951/
1695," Sala Kamraeuk, Siem Reap, Siem Reap",$380permonth,1,1.0,,,House,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/1-bed-1-bath-house-214950/
1696," Sala Kamraeuk, Siem Reap, Siem Reap",$800permonth,3,4.0,,,Apartment,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/3-bed-4-bath-apartment-214941/
1697," Sala Kamraeuk, Siem Reap, Siem Reap",$400permonth,1,2.0,,,Apartment,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/1-bed-2-bath-apartment-214940/
1698," Sala Kamraeuk, Siem Reap, Siem Reap",$400permonth,1,2.0,,,Apartment,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/1-bed-2-bath-apartment-214939/
1699," Sala Kamraeuk, Siem Reap, Siem Reap",$250permonth,1,1.0,,,Apartment,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/1-bed-1-bath-apartment-214928/
1700," Svay Dankum, Siem Reap, Siem Reap",$400permonth,2,3.0,,,Apartment,rent,https://www.realestate.com.kh/rent/svay-dankum/2-bed-3-bath-apartment-214926/
1701,"Sla Kram, Siem Reap, Siem Reap",$450permonth,2,2.0,,,Apartment,rent,https://www.realestate.com.kh/rent/sla-kram/sla-kram-village-214659/
1702,"Boeung Kak 2, Toul Kork, Phnom Penh","$4,500permonth",7,9.0,200,500.0,Villa,rent,https://www.realestate.com.kh/rent/boeung-kak-2/7-bed-9-bath-villa-213249/
1703,"313 313, Boeung Kak 2, Toul Kork, Phnom Penh","$2,000permonth",,,,60.0,House,rent,https://www.realestate.com.kh/buy/boeung-kak-2/313-313-212432/
1704,"Tumnob Tuek, Chamkarmon, Phnom Penh",$550permonth,1,1.0,,,House,rent,https://www.realestate.com.kh/rent/tumnob-tuek/1-bed-1-bath-house-210662/
1705,Granferte Phnom Penh,"$2,500permonth",1,1.0,69,,Serviced,rent,https://www.realestate.com.kh/new-developments/granferte-phnom-penh-209576/1-bed-1-bath-serviced-apartment-209587/
1706,"Tonle Bassac, Chamkarmon, Phnom Penh","$1,200permonth",,,,,House,rent,https://www.realestate.com.kh/rent/tonle-bassac/house-208660/
1707,"Chaom Chau, Por Sen Chey, Phnom Penh","$5,000permonth",,,,4193.0,Land,rent,https://www.realestate.com.kh/buy/chaom-chau/land-208659/
1708,"Chaom Chau, Por Sen Chey, Phnom Penh","$1,500permonth",28,28.0,,,House,rent,https://www.realestate.com.kh/buy/chaom-chau/28-bed-28-bath-house-208478/
1709,"Boeung Trabek, Chamkarmon, Phnom Penh","$1,700permonth",3,3.0,,,Villa,rent,https://www.realestate.com.kh/rent/boeung-trabek/3-bed-3-bath-villa-207982/
1710,"Tonle Bassac, Chamkarmon, Phnom Penh","$1,400permonth",,,,,Apartment,rent,https://www.realestate.com.kh/rent/tonle-bassac/apartment-207840/
1711,"Boeung Salang, Toul Kork, Phnom Penh",$500permonth,4,4.0,,,House,rent,https://www.realestate.com.kh/rent/boeung-salang/4-bed-4-bath-house-207571/
1712,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$4,000permonth",7,8.0,,,House,rent,https://www.realestate.com.kh/rent/phnom-penh-thmey/7-bed-8-bath-house-207570/
1713," Sala Kamraeuk, Siem Reap, Siem Reap","$2,000permonth",4,5.0,,,House,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/4-bed-5-bath-house-207106/
1714,Luxcity Hotel & Apartment,"$7,000permonth",4,4.0,393,,Serviced,rent,https://www.realestate.com.kh/new-developments/luxcity-hotel-apartment/4-bed-4-bath-serviced-apartment-206593/
1715,Luxcity Hotel & Apartment,"$8,000permonth",5,5.0,622,,Serviced,rent,https://www.realestate.com.kh/new-developments/luxcity-hotel-apartment/5-bed-5-bath-serviced-apartment-206588/
1716,Luxcity Hotel & Apartment,"$1,700permonth",1,1.0,79,,Serviced,rent,https://www.realestate.com.kh/new-developments/luxcity-hotel-apartment/1-bed-1-bath-serviced-apartment-206583/
1717,Luxcity Hotel & Apartment,"$1,600permonth",1,1.0,,75.0,Serviced,rent,https://www.realestate.com.kh/new-developments/luxcity-hotel-apartment/1-bed-1-bath-serviced-apartment-206581/
