,location,price,bedrooms,bathrooms,floors,lands,realestate_category,type,link
1081,"Tonle Bassac, Chamkarmon, Phnom Penh",$650permonth,1,1.0,50,,Apartment,rent,https://www.realestate.com.kh/rent/tonle-bassac/1-bed-1-bath-apartment-232150/
1082," Toul Tum Poung 1, Chamkarmon, Phnom Penh","$1,150permonth",3,2.0,,,Apartment,rent,https://www.realestate.com.kh/rent/toul-tum-poung-1/3-bed-2-bath-apartment-232144/
1083,"Nirouth, Chbar Ampov, Phnom Penh","$1,200permonth",4,5.0,,,Twin,rent,https://www.realestate.com.kh/rent/nirouth/4-bed-5-bath-twin-villa-231533/
1084,"Chak Angrae Leu, Meanchey, Phnom Penh","$5,000permonth",5,6.0,,429.0,Villa,rent,https://www.realestate.com.kh/rent/chak-angrae-leu/5-bed-6-bath-villa-231527/
1085,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$700permonth,2,2.0,110,,Apartment,rent,https://www.realestate.com.kh/rent/toul-tum-poung-1/2-bed-2-bath-apartment-231511/
1086,"Boeung Kak 1, Toul Kork, Phnom Penh","$1,200permonth",2,2.0,100,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-kak-1/2-bed-2-bath-apartment-231502/
1087," Tonle Bassac, Chamkarmon, Phnom Penh","$3,800permonth",3,3.0,280,,Apartment,rent,https://www.realestate.com.kh/rent/tonle-bassac/3-bed-3-bath-apartment-231483/
1088," Tonle Bassac, Chamkarmon, Phnom Penh",$800permonth,1,1.0,60,,Condo,rent,https://www.realestate.com.kh/rent/tonle-bassac/1-bed-1-bath-condo-231481/
1089,"Wat Phnom, Daun Penh, Phnom Penh",$400permonth,,1.0,35,,Condo,rent,https://www.realestate.com.kh/rent/wat-phnom/1-bath-condo-231458/
1090,"Boeung Prolit, 7 Makara, Phnom Penh",$750permonth,2,2.0,130,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-prolit/242-st-231345/
1091," Boeung Kak 1, Toul Kork, Phnom Penh",$400permonth,1,1.0,45,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-kak-1/1-bed-1-bath-apartment-231323/
1092," Boeung Kak 1, Toul Kork, Phnom Penh",$750permonth,1,1.0,75,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-kak-1/1-bed-1-bath-apartment-231322/
1093," Boeung Kak 1, Toul Kork, Phnom Penh",$950permonth,2,2.0,98,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-kak-1/2-bed-2-bath-apartment-231321/
1094,"BKK 1, Chamkarmon, Phnom Penh","$1,400permonth",1,1.0,55,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/1-bed-1-bath-apartment-231320/
1095,"Phsar Daeum Thkov, Chamkarmon, Phnom Penh",$600permonth,1,2.0,80,,Apartment,rent,https://www.realestate.com.kh/rent/phsar-daeum-thkov/1-bed-2-bath-apartment-230927/
1096," Sangkat Bei, Sihanoukville, Sihanoukville",$400permonth,1,1.0,32,,Apartment,rent,https://www.realestate.com.kh/rent/sangkat-bei/1-bed-1-bath-apartment-230934/
1097," Sangkat Bei, Sihanoukville, Sihanoukville",$900permonth,1,1.0,63,,Apartment,rent,https://www.realestate.com.kh/rent/sangkat-bei/1-bed-1-bath-apartment-230935/
1098,"Chakto Mukh, Daun Penh, Phnom Penh","$4,500permonth",1,2.0,128,,Shophouse,rent,https://www.realestate.com.kh/rent/chakto-mukh/1-bed-2-bath-shophouse-230936/
1099,"Chey Chumneah, Daun Penh, Phnom Penh",$900permonth,3,2.0,130,,Apartment,rent,https://www.realestate.com.kh/rent/chey-chumneah/3-bed-2-bath-apartment-230946/
1100,"Ou Baek K'am, Sen Sok, Phnom Penh",$900permonth,2,1.0,,95.0,Apartment,rent,https://www.realestate.com.kh/rent/ou-baek-kam/2-bed-1-bath-apartment-231040/
1101,"Sangkat Bei, Sihanoukville, Sihanoukville",$400permonth,,,,,Apartment,rent,https://www.realestate.com.kh/rent/sangkat-bei/apartment-231078/
1102,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$400permonth,1,1.0,55,,Apartment,rent,https://www.realestate.com.kh/rent/toul-tum-poung-1/1-bed-1-bath-apartment-231095/
1103,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$550permonth,2,2.0,80,,Apartment,rent,https://www.realestate.com.kh/rent/toul-tum-poung-1/2-bed-2-bath-apartment-231096/
1104,"Wat Phnom, Daun Penh, Phnom Penh",$350permonth,1,1.0,52,,Apartment,rent,https://www.realestate.com.kh/rent/wat-phnom/1-bed-1-bath-apartment-231157/
1105,"240 St, Boeng Reang, Daun Penh, Phnom Penh",$900permonth,,2.0,,128.0,Apartment,rent,https://www.realestate.com.kh/buy/boeng-reang/240-st-231244/
1106," Boeung Prolit, 7 Makara, Phnom Penh","$1,000permonth",2,2.0,100,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-prolit/2-bed-2-bath-apartment-231260/
1107,"Tuek L'ak 1, Toul Kork, Phnom Penh",$600permonth,2,2.0,59,,Apartment,rent,https://www.realestate.com.kh/rent/tuek-lak-1/2-bed-2-bath-apartment-231246/
1108," Sla Kram, Siem Reap, Siem Reap","$2,000permonth",4,4.0,,,House,rent,https://www.realestate.com.kh/rent/sla-kram/4-bed-4-bath-house-231174/
1109," Tonle Bassac, Chamkarmon, Phnom Penh","$1,500permonth",3,4.0,192,348.0,Villa,rent,https://www.realestate.com.kh/rent/tonle-bassac/3-bed-4-bath-villa-231171/
1110," BKK 3, Chamkarmon, Phnom Penh","$2,000permonth",4,4.0,,,Villa,rent,https://www.realestate.com.kh/rent/bkk-3/4-bed-4-bath-villa-231170/
1111," Tonle Bassac, Chamkarmon, Phnom Penh","$1,500permonth",3,2.0,127,,Condo,rent,https://www.realestate.com.kh/buy/tonle-bassac/3-bed-2-bath-condo-231138/
1112,"Boeung Trabek, Chamkarmon, Phnom Penh","$1,500permonth",3,4.0,,375.0,Villa,rent,https://www.realestate.com.kh/rent/boeung-trabek/3-bed-4-bath-villa-231134/
1113," Boeung Prolit, 7 Makara, Phnom Penh",$530permonth,1,1.0,45,,Condo,rent,https://www.realestate.com.kh/rent/boeung-prolit/1-bed-1-bath-condo-231132/
1114," Tonle Bassac, Chamkarmon, Phnom Penh","$3,500permonth",4,4.0,,,Villa,rent,https://www.realestate.com.kh/rent/tonle-bassac/4-bed-4-bath-villa-231082/
1115,"Sala Kamraeuk, Siem Reap, Siem Reap","$1,500permonth",2,2.0,,640.0,House,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/2-bed-2-bath-house-231075/
1116,"Tonle Bassac, Chamkarmon, Phnom Penh","$7,000permonth",6,6.0,,,Villa,rent,https://www.realestate.com.kh/rent/tonle-bassac/6-bed-6-bath-villa-231073/
1117,"BKK 3, Chamkarmon, Phnom Penh","$4,000permonth",5,5.0,,450.0,Villa,rent,https://www.realestate.com.kh/rent/bkk-3/5-bed-5-bath-villa-231071/
1118," BKK 2, Chamkarmon, Phnom Penh","$8,000permonth",16,16.0,1092,372.0,Apartment,rent,https://www.realestate.com.kh/rent/bkk-2/16-bed-16-bath-apartment-231070/
1119," Svay Dankum, Siem Reap, Siem Reap",$900permonth,2,2.0,,,Apartment,rent,https://www.realestate.com.kh/rent/svay-dankum/2-bed-2-bath-apartment-231056/
1120," Svay Dankum, Siem Reap, Siem Reap","$1,500permonth",4,4.0,,,Apartment,rent,https://www.realestate.com.kh/rent/svay-dankum/4-bed-4-bath-apartment-231055/
1121," BKK 1, Chamkarmon, Phnom Penh",$550permonth,2,2.0,85,85.0,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/2-bed-2-bath-apartment-231032/
1122," BKK 1, Chamkarmon, Phnom Penh",$800permonth,,,80,,Condo,rent,https://www.realestate.com.kh/rent/bkk-1/condo-231029/
1123," Tonle Bassac, Chamkarmon, Phnom Penh","$1,700permonth",3,2.0,88,,Condo,rent,https://www.realestate.com.kh/rent/tonle-bassac/3-bed-2-bath-condo-231014/
1124,"BKK 3, Chamkarmon, Phnom Penh","$1,700permonth",4,4.0,,275.0,Villa,rent,https://www.realestate.com.kh/rent/bkk-3/4-bed-4-bath-villa-230995/
1125,"Tonle Bassac, Chamkarmon, Phnom Penh","$2,800permonth",4,5.0,,303.0,Villa,rent,https://www.realestate.com.kh/rent/tonle-bassac/4-bed-5-bath-villa-230994/
1126,"Ou Baek K'am, Sen Sok, Phnom Penh","$2,300permonth",3,3.0,164,,Condo,rent,https://www.realestate.com.kh/rent/ou-baek-kam/3-bed-3-bath-condo-230951/
1127,"Phsar Daeum Thkov, Chamkarmon, Phnom Penh",$850permonth,2,3.0,108,,Apartment,rent,https://www.realestate.com.kh/rent/phsar-daeum-thkov/2-bed-3-bath-apartment-230926/
1128,"Veal Vong, 7 Makara, Phnom Penh",$350permonth,1,1.0,40,,Apartment,rent,https://www.realestate.com.kh/rent/veal-vong/1-bed-1-bath-apartment-230905/
1129,"Tonle Bassac, Chamkarmon, Phnom Penh","$2,450permonth",3,2.0,123,,Apartment,rent,https://www.realestate.com.kh/rent/tonle-bassac/3-bed-2-bath-apartment-230899/
1130," BKK 1, Chamkarmon, Phnom Penh","$1,800permonth",,,,,Condo,rent,https://www.realestate.com.kh/rent/bkk-1/condo-230886/
1131,"Tonle Bassac, Chamkarmon, Phnom Penh","$2,000permonth",3,4.0,260,161.0,Link,rent,https://www.realestate.com.kh/rent/tonle-bassac/3-bed-4-bath-link-house-230561/
1132,"Tonle Bassac, Chamkarmon, Phnom Penh","$2,000permonth",4,3.0,,,Villa,rent,https://www.realestate.com.kh/rent/tonle-bassac/4-bed-3-bath-villa-230560/
1133,"Tonle Bassac, Chamkarmon, Phnom Penh","$2,200permonth",3,4.0,260,161.0,Link,rent,https://www.realestate.com.kh/rent/tonle-bassac/3-bed-4-bath-link-house-230557/
1134,"BKK 1, Chamkarmon, Phnom Penh","$1,800permonth",2,2.0,100,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/2-bed-2-bath-apartment-230533/
1135,"Tonle Bassac, Chamkarmon, Phnom Penh","$3,500permonth",4,5.0,440,275.0,Villa,rent,https://www.realestate.com.kh/rent/tonle-bassac/4-bed-5-bath-villa-230525/
1136," Svay Dankum, Siem Reap, Siem Reap",$400permonth,2,1.0,,,Apartment,rent,https://www.realestate.com.kh/rent/svay-dankum/2-bed-1-bath-apartment-230493/
1137,"Tonle Bassac, Chamkarmon, Phnom Penh","$3,500permonth",4,5.0,440,,Villa,rent,https://www.realestate.com.kh/rent/tonle-bassac/4-bed-5-bath-villa-230459/
1138,"Sala Kamraeuk, Siem Reap, Siem Reap",$530permonth,1,1.0,,,Apartment,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/1-bed-1-bath-apartment-230452/
1139,"Boeung Kak 2, Toul Kork, Phnom Penh",$750permonth,1,1.0,66,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-kak-2/1-bed-1-bath-apartment-230449/
1140," Sla Kram, Siem Reap, Siem Reap",$400permonth,2,2.0,,,House,rent,https://www.realestate.com.kh/rent/sla-kram/2-bed-2-bath-house-230445/
1141," Svay Dankum, Siem Reap, Siem Reap",$600permonth,8,9.0,,,House,rent,https://www.realestate.com.kh/rent/svay-dankum/8-bed-9-bath-house-230444/
1142,"Tonle Bassac, Chamkarmon, Phnom Penh","$2,100permonth",3,2.0,115,,Apartment,rent,https://www.realestate.com.kh/rent/tonle-bassac/3-bed-2-bath-apartment-230443/
1143,"Tonle Bassac, Chamkarmon, Phnom Penh","$1,050permonth",,1.0,40,,Apartment,rent,https://www.realestate.com.kh/rent/tonle-bassac/1-bath-apartment-230442/
1144,"BKK 1, Chamkarmon, Phnom Penh","$1,000permonth",2,2.0,160,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/2-bed-2-bath-apartment-230438/
1145,"BKK 1, Chamkarmon, Phnom Penh",$600permonth,1,1.0,58,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/1-bed-1-bath-apartment-230437/
1146,"Boeung Prolit, 7 Makara, Phnom Penh",$700permonth,1,1.0,80,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-prolit/1-bed-1-bath-apartment-230436/
1147,"Boeung Prolit, 7 Makara, Phnom Penh","$1,100permonth",2,2.0,120,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-prolit/2-bed-2-bath-apartment-230432/
1148," Chey Chumneah, Daun Penh, Phnom Penh","$1,500permonth",1,1.0,80,95.0,Apartment,rent,https://www.realestate.com.kh/rent/chey-chumneah/1-bed-1-bath-apartment-230430/
1149,"Chey Chumneah, Daun Penh, Phnom Penh",$700permonth,2,2.0,65,,Apartment,rent,https://www.realestate.com.kh/rent/chey-chumneah/2-bed-2-bath-apartment-230427/
1150,"Boeung Kak 1, Toul Kork, Phnom Penh","$1,700permonth",2,3.0,74,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-kak-1/2-bed-3-bath-apartment-230408/
1151,"Boeung Kak 1, Toul Kork, Phnom Penh",$850permonth,1,1.0,75,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-kak-1/1-bed-1-bath-apartment-230407/
1152," BKK 1, Chamkarmon, Phnom Penh","$1,500permonth",2,1.0,95,150.0,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/2-bed-1-bath-apartment-230394/
1153,"Svay Dankum, Siem Reap, Siem Reap","$1,200permonth",4,5.0,288,800.0,House,rent,https://www.realestate.com.kh/rent/svay-dankum/4-bed-5-bath-house-230387/
1154,"Srah Chak, Daun Penh, Phnom Penh",$700permonth,1,1.0,49,,Apartment,rent,https://www.realestate.com.kh/rent/srah-chak/1-bed-1-bath-apartment-230381/
1155,"Boeung Trabek, Chamkarmon, Phnom Penh","$2,300permonth",5,6.0,,337.0,Villa,rent,https://www.realestate.com.kh/rent/boeung-trabek/5-bed-6-bath-villa-230374/
1156,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$350permonth,,1.0,40,,Apartment,rent,https://www.realestate.com.kh/rent/toul-tum-poung-1/1-bath-apartment-230373/
1157,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$500permonth,2,2.0,90,,Apartment,rent,https://www.realestate.com.kh/rent/toul-tum-poung-1/2-bed-2-bath-apartment-230372/
1158,"Tumnob Tuek, Chamkarmon, Phnom Penh",$280permonth,,1.0,23,,Apartment,rent,https://www.realestate.com.kh/rent/tumnob-tuek/1-bath-apartment-230353/
1159,"BKK 2, Chamkarmon, Phnom Penh","$3,000permonth",4,5.0,160,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-2/4-bed-5-bath-apartment-230348/
1160,"Srah Chak, Daun Penh, Phnom Penh","$3,200permonth",3,2.0,190,,Apartment,rent,https://www.realestate.com.kh/rent/srah-chak/3-bed-2-bath-apartment-230331/
1161,"Srah Chak, Daun Penh, Phnom Penh",$950permonth,2,2.0,85,,Apartment,rent,https://www.realestate.com.kh/rent/srah-chak/2-bed-2-bath-apartment-230329/
1162," Svay Dankum, Siem Reap, Siem Reap",$450permonth,1,1.0,,,Apartment,rent,https://www.realestate.com.kh/rent/svay-dankum/1-bed-1-bath-apartment-230324/
1163," Tonle Bassac, Chamkarmon, Phnom Penh","$4,500permonth",4,5.0,450,330.0,Villa,rent,https://www.realestate.com.kh/rent/tonle-bassac/4-bed-5-bath-villa-230321/
1164,"Tonle Bassac, Chamkarmon, Phnom Penh","$2,700permonth",3,4.0,,320.0,Villa,rent,https://www.realestate.com.kh/rent/tonle-bassac/3-bed-4-bath-villa-230320/
1165," Svay Dankum, Siem Reap, Siem Reap",$550permonth,1,1.0,,,Apartment,rent,https://www.realestate.com.kh/rent/svay-dankum/1-bed-1-bath-apartment-230319/
1166," Svay Dankum, Siem Reap, Siem Reap",$450permonth,1,1.0,,,Apartment,rent,https://www.realestate.com.kh/rent/svay-dankum/1-bed-1-bath-apartment-230318/
1167," Svay Dankum, Siem Reap, Siem Reap",$650permonth,2,1.0,,,Apartment,rent,https://www.realestate.com.kh/rent/svay-dankum/2-bed-1-bath-apartment-230317/
1168,"St368 St368, BKK 3, Chamkarmon, Phnom Penh",$850permonth,2,2.0,95,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-3/st368-st368-230308/
1169," Sla Kram, Siem Reap, Siem Reap",$350permonth,4,5.0,80,100.0,House,rent,https://www.realestate.com.kh/rent/sla-kram/4-bed-5-bath-house-230301/
1170,"Tonle Bassac, Chamkarmon, Phnom Penh","$6,500permonth",6,7.0,,305.0,Villa,rent,https://www.realestate.com.kh/rent/tonle-bassac/6-bed-7-bath-villa-230300/
1171,"BKK 1, Chamkarmon, Phnom Penh","$1,800permonth",3,2.0,100,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/3-bed-2-bath-apartment-230294/
1172," Boeung Kak 2, Toul Kork, Phnom Penh","$2,800permonth",4,5.0,,800.0,Villa,rent,https://www.realestate.com.kh/rent/boeung-kak-2/4-bed-5-bath-villa-230271/
1173,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$1,700permonth",4,5.0,252,,Villa,rent,https://www.realestate.com.kh/rent/phnom-penh-thmey/4-bed-5-bath-villa-230262/
1174,"BKK 2, Chamkarmon, Phnom Penh","$4,000permonth",3,4.0,200,,Penthouse,rent,https://www.realestate.com.kh/rent/bkk-2/3-bed-4-bath-penthouse-230250/
1175,"BKK 1, Chamkarmon, Phnom Penh",$650permonth,1,1.0,70,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/1-bed-1-bath-apartment-230249/
1176,"Sala Kamraeuk, Siem Reap, Siem Reap","$5,000permonth",13,14.0,,,Apartment,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/13-bed-14-bath-apartment-230243/
1177," Svay Dankum, Siem Reap, Siem Reap",$300permonth,1,1.0,,,Apartment,rent,https://www.realestate.com.kh/rent/svay-dankum/1-bed-1-bath-apartment-230232/
1178," Svay Dankum, Siem Reap, Siem Reap",$400permonth,2,2.0,,,Apartment,rent,https://www.realestate.com.kh/rent/svay-dankum/2-bed-2-bath-apartment-230231/
1179," Chreav, Siem Reap, Siem Reap",$400permonth,3,3.0,,,House,rent,https://www.realestate.com.kh/rent/chreav/3-bed-3-bath-house-230212/
1180," Boeung Kak 1, Toul Kork, Phnom Penh",$550permonth,1,1.0,45,60.0,Apartment,rent,https://www.realestate.com.kh/rent/boeung-kak-1/1-bed-1-bath-apartment-230208/
1181," Tonle Bassac, Chamkarmon, Phnom Penh",$800permonth,2,1.0,65,80.0,Apartment,rent,https://www.realestate.com.kh/rent/tonle-bassac/2-bed-1-bath-apartment-230200/
1182,"BKK 1, Chamkarmon, Phnom Penh",$900permonth,2,1.0,81,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/2-bed-1-bath-apartment-230195/
1183,"BKK 1, Chamkarmon, Phnom Penh","$2,700permonth",3,3.0,108,,Penthouse,rent,https://www.realestate.com.kh/rent/bkk-1/3-bed-3-bath-penthouse-230192/
1184,"Boeung Prolit, 7 Makara, Phnom Penh","$1,000permonth",2,2.0,80,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-prolit/2-bed-2-bath-apartment-230173/
1185," Sangkat Bei, Sihanoukville, Sihanoukville",$450permonth,1,1.0,43,,Apartment,rent,https://www.realestate.com.kh/rent/sangkat-bei/1-bed-1-bath-apartment-230169/
1186," Chakto Mukh, Daun Penh, Phnom Penh",$370permonth,1,1.0,50,,Apartment,rent,https://www.realestate.com.kh/rent/chakto-mukh/1-bed-1-bath-apartment-230161/
1187,"Boeung Prolit, 7 Makara, Phnom Penh",$900permonth,2,2.0,80,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-prolit/2-bed-2-bath-apartment-230158/
1188,"BKK 1, Chamkarmon, Phnom Penh","$1,200permonth",2,2.0,85,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/2-bed-2-bath-apartment-230156/
1189,"BKK 1, Chamkarmon, Phnom Penh",$850permonth,1,1.0,57,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/1-bed-1-bath-apartment-230155/
1190,"BKK 1, Chamkarmon, Phnom Penh",$750permonth,1,1.0,45,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/1-bed-1-bath-apartment-230154/
1191," BKK 1, Chamkarmon, Phnom Penh","$1,300permonth",1,1.0,113,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/1-bed-1-bath-apartment-230130/
1192," BKK 1, Chamkarmon, Phnom Penh","$1,300permonth",1,1.0,77,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/1-bed-1-bath-apartment-230129/
1193,"Tonle Bassac, Chamkarmon, Phnom Penh","$2,500permonth",4,5.0,250,303.0,Villa,rent,https://www.realestate.com.kh/rent/tonle-bassac/4-bed-5-bath-villa-230118/
1194,"Srah Chak, Daun Penh, Phnom Penh","$2,800permonth",2,3.0,,330.0,Villa,rent,https://www.realestate.com.kh/rent/srah-chak/2-bed-3-bath-villa-230115/
1195,"Boeung Kak 1, Toul Kork, Phnom Penh",$550permonth,1,1.0,70,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-kak-1/1-bed-1-bath-apartment-230088/
1196,"Boeung Kak 1, Toul Kork, Phnom Penh",$320permonth,,1.0,22,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-kak-1/1-bath-apartment-230087/
1197,"BKK 3, Chamkarmon, Phnom Penh","$1,700permonth",3,3.0,220,375.0,Apartment,rent,https://www.realestate.com.kh/rent/bkk-3/3-bed-3-bath-apartment-230080/
1198,"Phsar Chas, Daun Penh, Phnom Penh","$1,500permonth",3,3.0,,330.0,Villa,rent,https://www.realestate.com.kh/rent/phsar-chas/3-bed-3-bath-villa-230079/
1199,"Srah Chak, Daun Penh, Phnom Penh",$450permonth,1,1.0,60,,Apartment,rent,https://www.realestate.com.kh/rent/srah-chak/1-bed-1-bath-apartment-230077/
1200,"BKK 1, Chamkarmon, Phnom Penh",$700permonth,2,2.0,100,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/2-bed-2-bath-apartment-230075/
1201,"BKK 1, Chamkarmon, Phnom Penh","$6,500permonth",5,7.0,700,500.0,Villa,rent,https://www.realestate.com.kh/rent/bkk-1/5-bed-7-bath-villa-230074/
1202,"Boeung Kak 1, Toul Kork, Phnom Penh","$1,500permonth",3,2.0,141,,Condo,rent,https://www.realestate.com.kh/rent/boeung-kak-1/3-bed-2-bath-condo-230073/
1203,"BKK 1, Chamkarmon, Phnom Penh",$650permonth,1,1.0,65,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/1-bed-1-bath-apartment-230068/
1204,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$900permonth,2,2.0,,118.0,Apartment,rent,https://www.realestate.com.kh/rent/toul-tum-poung-1/2-bed-2-bath-apartment-230065/
1205,"BKK 1, Chamkarmon, Phnom Penh",$800permonth,1,2.0,78,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/1-bed-2-bath-apartment-230044/
1206,"BKK 1, Chamkarmon, Phnom Penh","$1,600permonth",2,2.0,105,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/2-bed-2-bath-apartment-230043/
1207,"BKK 1, Chamkarmon, Phnom Penh","$2,600permonth",3,3.0,150,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/3-bed-3-bath-apartment-230042/
1208,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$400permonth,2,1.0,45,,Apartment,rent,https://www.realestate.com.kh/rent/toul-tum-poung-1/2-bed-1-bath-apartment-230038/
1209," Svay Dankum, Siem Reap, Siem Reap",$600permonth,,,,,Land,rent,https://www.realestate.com.kh/rent/svay-dankum/land-230028/
1210,"BKK 1, Chamkarmon, Phnom Penh","$2,500permonth",3,3.0,200,600.0,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/3-bed-3-bath-apartment-230018/
1211,"BKK 1, Chamkarmon, Phnom Penh","$2,000permonth",4,5.0,220,600.0,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/4-bed-5-bath-apartment-230015/
1212," BKK 1, Chamkarmon, Phnom Penh","$6,300permonth",4,4.0,240,,Penthouse,rent,https://www.realestate.com.kh/rent/bkk-1/4-bed-4-bath-penthouse-230002/
1213,"BKK 1, Chamkarmon, Phnom Penh","$5,000permonth",4,5.0,313,,Villa,rent,https://www.realestate.com.kh/rent/bkk-1/4-bed-5-bath-villa-229968/
1214,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$250permonth,1,1.0,45,,Apartment,rent,https://www.realestate.com.kh/rent/toul-tum-poung-1/1-bed-1-bath-apartment-229953/
1215," Sangkat Muoy, Sihanoukville, Sihanoukville",$400permonth,1,1.0,,40.0,Apartment,rent,https://www.realestate.com.kh/rent/sangkat-muoy/1-bed-1-bath-apartment-229925/
1216,"Phsar Kandal I, Daun Penh, Phnom Penh",$850permonth,2,1.0,60,,Apartment,rent,https://www.realestate.com.kh/rent/phsar-kandal-i/2-bed-1-bath-apartment-229921/
1217,"Boeung Kak 1, Toul Kork, Phnom Penh","$1,000permonth",2,2.0,99,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-kak-1/2-bed-2-bath-apartment-229890/
1218," Toul Tum Poung 1, Chamkarmon, Phnom Penh",$550permonth,1,1.0,64,,Apartment,rent,https://www.realestate.com.kh/rent/toul-tum-poung-1/1-bed-1-bath-apartment-229880/
1219," Toul Tum Poung 1, Chamkarmon, Phnom Penh",$500permonth,1,1.0,50,,Apartment,rent,https://www.realestate.com.kh/rent/toul-tum-poung-1/1-bed-1-bath-apartment-229877/
1220," Chak Angrae Leu, Meanchey, Phnom Penh",$650permonth,1,1.0,60,,Condo,rent,https://www.realestate.com.kh/rent/chak-angrae-leu/1-bed-1-bath-condo-229874/
1221,"Tonle Bassac, Chamkarmon, Phnom Penh","$1,680permonth",2,2.0,101,,Apartment,rent,https://www.realestate.com.kh/rent/tonle-bassac/2-bed-2-bath-apartment-229865/
1222,"BKK 3, Chamkarmon, Phnom Penh","$1,900permonth",3,2.0,220,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-3/3-bed-2-bath-apartment-229852/
1223,"BKK 1, Chamkarmon, Phnom Penh",$500permonth,1,1.0,40,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/1-bed-1-bath-apartment-229851/
1224," Boeung Trabek, Chamkarmon, Phnom Penh",$900permonth,2,1.0,65,50.0,Apartment,rent,https://www.realestate.com.kh/rent/boeung-trabek/2-bed-1-bath-apartment-229792/
1225," BKK 3, Chamkarmon, Phnom Penh",$500permonth,1,1.0,45,50.0,Apartment,rent,https://www.realestate.com.kh/rent/bkk-3/1-bed-1-bath-apartment-229787/
1226,"BKK 1, Chamkarmon, Phnom Penh","$2,100permonth",3,3.0,148,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/3-bed-3-bath-apartment-229750/
1227," Boeng Reang, Daun Penh, Phnom Penh",$700permonth,1,1.0,,,Apartment,rent,https://www.realestate.com.kh/rent/boeng-reang/1-bed-1-bath-apartment-229729/
1228," Boeung Prolit, 7 Makara, Phnom Penh","$3,000permonth",3,3.0,280,,Apartment,rent,https://www.realestate.com.kh/rent/boeung-prolit/3-bed-3-bath-apartment-229727/
1229," Sala Kamraeuk, Siem Reap, Siem Reap",$350permonth,,,,,Apartment,rent,https://www.realestate.com.kh/rent/sala-kamraeuk/apartment-229720/
1230," BKK 1, Chamkarmon, Phnom Penh","$1,200permonth",2,2.0,,,Apartment,rent,https://www.realestate.com.kh/rent/bkk-1/2-bed-2-bath-apartment-229684/
1231," Sla Kram, Siem Reap, Siem Reap",$800permonth,4,4.0,,,Apartment,rent,https://www.realestate.com.kh/rent/sla-kram/4-bed-4-bath-apartment-229682/
