,location,price,bedrooms,bathrooms,floors,lands,realestate_category,type
1242," BKK 1, Chamkarmon, Phnom Penh",$700permonth,1,1.0,80,,Apartment,rent
1243,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$3,000permonth",,,,,Apartment,rent
1244,"BKK 3, Chamkarmon, Phnom Penh","$2,800permonth",,,,,Shophouse,rent
1245,"Boeung Trabek, Chamkarmon, Phnom Penh",$850permonth,2,2.0,67,,Apartment,rent
1246,"Boeung Trabek, Chamkarmon, Phnom Penh",$550permonth,1,1.0,45,,Apartment,rent
1247,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$750permonth,2,2.0,80,,Apartment,rent
1248,"Toul Tum Poung 1, Chamkarmon, Phnom Penh","$1,300permonth",2,3.0,145,,Apartment,rent
1249,"Boeung Trabek, Chamkarmon, Phnom Penh",$550permonth,2,3.0,90,,Apartment,rent
1250," Toul Tum Poung 1, Chamkarmon, Phnom Penh","$2,800permonth",3,3.0,,,Apartment,rent
1251," Toul Tum Poung 1, Chamkarmon, Phnom Penh",$500permonth,1,1.0,50,,Apartment,rent
1252,"Olympic, Chamkarmon, Phnom Penh",$360permonth,1,1.0,45,,Apartment,rent
1253,"Phsar Thmei III, Daun Penh, Phnom Penh","$2,000permonth",4,4.0,,,Shophouse,rent
1254,"Phsar Thmei III, Daun Penh, Phnom Penh","$1,500permonth",6,7.0,,,Shophouse,rent
1255,"Tonle Bassac, Chamkarmon, Phnom Penh",$450permonth,1,1.0,50,,Apartment,rent
1256,"Tonle Bassac, Chamkarmon, Phnom Penh",$350permonth,1,1.0,50,,Apartment,rent
1257,"Tonle Bassac, Chamkarmon, Phnom Penh",$600permonth,1,1.0,50,,Apartment,rent
1258," Nirouth, Chbar Ampov, Phnom Penh","$1,800permonth",3,4.0,,,Villa,rent
1259,"BKK 1, Chamkarmon, Phnom Penh",$500permonth,1,1.0,,,Apartment,rent
1260,"Tonle Bassac, Chamkarmon, Phnom Penh","$1,200permonth",3,2.0,95,,Condo,rent
1261," Sala Kamraeuk, Siem Reap, Siem Reap",$450permonth,2,3.0,,,House,rent
1262," Sala Kamraeuk, Siem Reap, Siem Reap",$700permonth,2,2.0,,,Apartment,rent
1263,"Nirouth, Chbar Ampov, Phnom Penh","$12,000permonth",6,8.0,,,Villa,rent
1264,"Svay Dankum, Siem Reap, Siem Reap",$650permonth,2,2.0,,,Villa,rent
1265," Chreav, Siem Reap, Siem Reap","$1,500permonth",,,,,Land,rent
1266,"BKK 1, Chamkarmon, Phnom Penh","$4,600permonth",7,6.0,800,525.0,Villa,rent
1267," Sala Kamraeuk, Siem Reap, Siem Reap",$600permonth,,,,,Shophouse,rent
1268,"Toul Tum Poung 2, Chamkarmon, Phnom Penh",$450permonth,1,1.0,,,Serviced,rent
1269,"BKK 1, Chamkarmon, Phnom Penh","$6,000permonth",5,4.0,240,,Apartment,rent
1270,"Tonle Bassac, Chamkarmon, Phnom Penh",$500permonth,,1.0,41,,Apartment,rent
1271," Toul Svay Prey 1, Chamkarmon, Phnom Penh","$5,000permonth",6,7.0,,,Villa,rent
1272,"Tonle Bassac, Chamkarmon, Phnom Penh","$1,500permonth",2,2.0,128,,Apartment,rent
1273,"BKK 3, Chamkarmon, Phnom Penh","$1,000permonth",,,,,Shophouse,rent
1274,"BKK 1, Chamkarmon, Phnom Penh","$1,400permonth",1,1.0,77,,Condo,rent
1275,"BKK 1, Chamkarmon, Phnom Penh","$1,600permonth",2,2.0,100,,Apartment,rent
1276,"Tonle Bassac, Chamkarmon, Phnom Penh","$1,750permonth",2,,88,,Condo,rent
1277,"BKK 3, Chamkarmon, Phnom Penh",$750permonth,2,2.0,,,Serviced,rent
1278,"Sla Kram, Siem Reap, Siem Reap","$1,200permonth",4,6.0,,,Villa,rent
1279,"Tuek Thla, Sen Sok, Phnom Penh","$1,000permonth",4,5.0,,,Villa,rent
1280,"Tonle Bassac, Chamkarmon, Phnom Penh",$650permonth,2,2.0,75,,Apartment,rent
1281,"Tonle Bassac, Chamkarmon, Phnom Penh",$500permonth,1,1.0,55,,Apartment,rent
1282,"Tonle Bassac, Chamkarmon, Phnom Penh","$1,200permonth",1,1.0,97,,Apartment,rent
1283,"Tonle Bassac, Chamkarmon, Phnom Penh","$1,800permonth",2,2.0,136,,Apartment,rent
1284,"Tonle Bassac, Chamkarmon, Phnom Penh",$800permonth,1,1.0,90,,Apartment,rent
1285,"Boeung Kak 1, Toul Kork, Phnom Penh","$1,600permonth",4,8.0,,,Villa,rent
1286," Tonle Bassac, Chamkarmon, Phnom Penh","$4,500permonth",4,4.0,,,Villa,rent
1287," Toul Tum Poung 1, Chamkarmon, Phnom Penh","$2,500permonth",4,6.0,,,Villa,rent
1288,"BKK 1, Chamkarmon, Phnom Penh",$600permonth,1,1.0,,,Apartment,rent
1289,"Sla Kram, Siem Reap, Siem Reap","$3,500permonth",4,5.0,,,House,rent
1290,"Phsar Kandal II, Daun Penh, Phnom Penh",$850permonth,4,2.0,64,,Shophouse,rent
1291,"BKK 1, Chamkarmon, Phnom Penh","$2,400permonth",2,2.0,107,,Apartment,rent
1292,"BKK 1, Chamkarmon, Phnom Penh","$1,500permonth",1,1.0,62,,Apartment,rent
1293," Chakto Mukh, Daun Penh, Phnom Penh","$1,500permonth",3,3.0,150,,Apartment,rent
1294,"Tumnob Tuek, Chamkarmon, Phnom Penh",$500permonth,1,1.0,58,,Apartment,rent
1295,"BKK 1, Chamkarmon, Phnom Penh","$1,000permonth",1,1.0,50,,Apartment,rent
1296,"BKK 1, Chamkarmon, Phnom Penh","$1,500permonth",2,2.0,125,,Apartment,rent
1297,"BKK 1, Chamkarmon, Phnom Penh","$1,200permonth",1,2.0,100,,Apartment,rent
1298,"Tumnob Tuek, Chamkarmon, Phnom Penh",$550permonth,1,1.0,50,,Apartment,rent
1299,"Tonle Bassac, Chamkarmon, Phnom Penh","$2,700permonth",3,3.0,180,,Apartment,rent
1300,"BKK 1, Chamkarmon, Phnom Penh","$1,100permonth",1,1.0,65,,Apartment,rent
1301,"Phsar Thmei III, Daun Penh, Phnom Penh","$1,100permonth",,,134,,Apartment,rent
1302,"Phsar Thmei III, Daun Penh, Phnom Penh","$1,500permonth",3,2.0,153,,Apartment,rent
1303,"Boeng Reang, Daun Penh, Phnom Penh",$600permonth,2,1.0,,,Shophouse,rent
1304,"BKK 1, Chamkarmon, Phnom Penh",$750permonth,1,1.0,45,,Apartment,rent
1305,"Chey Chumneah, Daun Penh, Phnom Penh","$2,000permonth",14,16.0,,,Shophouse,rent
1306,"Wat Phnom, Daun Penh, Phnom Penh","$1,300permonth",2,2.0,,,Shophouse,rent
1307,"Phsar Chas, Daun Penh, Phnom Penh","$1,200permonth",5,6.0,,,Shophouse,rent
1308,"Tumnob Tuek, Chamkarmon, Phnom Penh",$550permonth,1,1.0,65,,Apartment,rent
1309,"Svay Dankum, Siem Reap, Siem Reap","$1,200permonth",3,4.0,,,Apartment,rent
1310,"Sla Kram, Siem Reap, Siem Reap",$450permonth,2,2.0,,,Apartment,rent
1311,"Toul Svay Prey 1, Chamkarmon, Phnom Penh","$6,500permonth",3,4.0,,,Shophouse,rent
1312,"Veal Vong, 7 Makara, Phnom Penh",$800permonth,1,2.0,88,,Apartment,rent
1313,"Veal Vong, 7 Makara, Phnom Penh",$650permonth,1,1.0,70,,Apartment,rent
1314,"Veal Vong, 7 Makara, Phnom Penh",$600permonth,1,1.0,65,,Apartment,rent
1315,"Wat Phnom, Daun Penh, Phnom Penh",$700permonth,,1.0,45,,Apartment,rent
1316," Sla Kram, Siem Reap, Siem Reap",$300permonth,2,1.0,,,Apartment,rent
1317," Sla Kram, Siem Reap, Siem Reap",$270permonth,2,1.0,,,Apartment,rent
1318,"Svay Dankum, Siem Reap, Siem Reap","$1,300permonth",4,5.0,,,Villa,rent
1319,"Tonle Bassac, Chamkarmon, Phnom Penh",$500permonth,1,1.0,,,Apartment,rent
1320," Tonle Bassac, Chamkarmon, Phnom Penh","$2,000permonth",3,4.0,,,Villa,rent
1321,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$750permonth,2,2.0,,,Apartment,rent
1322,"Tonle Bassac, Chamkarmon, Phnom Penh","$1,600permonth",2,2.0,,,Apartment,rent
1323,"Sla Kram, Siem Reap, Siem Reap",$490permonth,1,1.0,,,Apartment,rent
1324," Chreav, Siem Reap, Siem Reap",$250permonth,2,2.0,,,House,rent
1325," Nirouth, Chbar Ampov, Phnom Penh","$7,900permonth",5,6.0,,,Apartment,rent
1326,"Toul Svay Prey 2, Chamkarmon, Phnom Penh","$1,200permonth",3,3.0,140,,Apartment,rent
1327,"Toul Svay Prey 1, Chamkarmon, Phnom Penh","$2,800permonth",8,11.0,,,House,rent
1328," Tuek L'ak 1, Toul Kork, Phnom Penh",$400permonth,1,1.0,48,,Apartment,rent
1329,"Tumnob Tuek, Chamkarmon, Phnom Penh","$2,000permonth",3,2.0,202,,Apartment,rent
1330,"Tumnob Tuek, Chamkarmon, Phnom Penh","$1,400permonth",2,2.0,155,,Apartment,rent
1331,"BKK 1, Chamkarmon, Phnom Penh","$1,200permonth",2,3.0,107,,Apartment,rent
1332,"BKK 2, Chamkarmon, Phnom Penh",$500permonth,,1.0,23,,Apartment,rent
1333,"BKK 2, Chamkarmon, Phnom Penh",$500permonth,1,1.0,29,,Apartment,rent
1334,"BKK 1, Chamkarmon, Phnom Penh","$1,000permonth",1,1.0,56,,Apartment,rent
1335,"BKK 1, Chamkarmon, Phnom Penh",$800permonth,2,1.0,45,,Apartment,rent
1336," Svay Dankum, Siem Reap, Siem Reap",$600permonth,,,,,Land,rent
1337,Urban Palace,"$2,230permonth",2,2.0,124,,Serviced,rent
1338,"Tonle Bassac, Chamkarmon, Phnom Penh",$900permonth,2,2.0,90,,Apartment,rent
1339," Svay Dankum, Siem Reap, Siem Reap",$300permonth,,,,,Land,rent
1340," Tonle Bassac, Chamkarmon, Phnom Penh","$3,000permonth",4,5.0,,,Villa,rent
1341," BKK 1, Chamkarmon, Phnom Penh","$3,000permonth",5,7.0,,,Villa,rent
1342," Sala Kamraeuk, Siem Reap, Siem Reap","$1,800permonth",,,,,Land,rent
1343," BKK 1, Chamkarmon, Phnom Penh","$1,100permonth",2,2.0,,,Apartment,rent
1344," Tonle Bassac, Chamkarmon, Phnom Penh","$2,800permonth",4,5.0,,,Villa,rent
1345," Toul Tum Poung 1, Chamkarmon, Phnom Penh","$2,500permonth",6,7.0,,,Villa,rent
1346," Toul Tum Poung 2, Chamkarmon, Phnom Penh","$1,500permonth",,,,275.0,House,rent
1347," Tonle Bassac, Chamkarmon, Phnom Penh","$12,000permonth",12,16.0,,,Apartment,rent
1348," Boeung Tumpun, Meanchey, Phnom Penh",$480permonth,1,1.0,49,,Apartment,rent
1349," Sala Kamraeuk, Siem Reap, Siem Reap",$250permonth,1,1.0,,,Apartment,rent
1350,"Sla Kram, Siem Reap, Siem Reap",$700permonth,3,3.0,,,House,rent
1351," Toul Tum Poung 1, Chamkarmon, Phnom Penh",$550permonth,1,1.0,,,Apartment,rent
1352," BKK 1, Chamkarmon, Phnom Penh",$650permonth,1,1.0,,,Apartment,rent
1353," BKK 1, Chamkarmon, Phnom Penh","$2,100permonth",3,3.0,,,Apartment,rent
1354," Tonle Bassac, Chamkarmon, Phnom Penh","$1,480permonth",2,2.0,75,,Apartment,rent
1355,"Olympic, Chamkarmon, Phnom Penh",$600permonth,2,2.0,60,,Apartment,rent
1356,"Olympic, Chamkarmon, Phnom Penh",$800permonth,2,3.0,95,,Apartment,rent
1357,"Olympic, Chamkarmon, Phnom Penh",$500permonth,1,1.0,45,,Apartment,rent
1358,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$800permonth,1,2.0,80,,Apartment,rent
1359,"Toul Tum Poung 2, Chamkarmon, Phnom Penh","$5,500permonth",15,15.0,,,Apartment,rent
1360,"Boeng Reang, Daun Penh, Phnom Penh","$1,150permonth",2,2.0,83,,Apartment,rent
1361,"Chroy Changvar, Chroy Changvar, Phnom Penh",$250permonth,1,1.0,33,,Condo,rent
1362,"Chey Chumneah, Daun Penh, Phnom Penh","$3,000permonth",5,5.0,360,,Apartment,rent
1363,"Olympic, Chamkarmon, Phnom Penh",$700permonth,2,2.0,65,,Apartment,rent
1364," Boeung Kak 2, Toul Kork, Phnom Penh","$1,700permonth",5,7.0,384,,Villa,rent
1365,"Boeng Reang, Daun Penh, Phnom Penh","$5,000permonth",16,16.0,,,Shophouse,rent
1366,"BKK 1, Chamkarmon, Phnom Penh",$330permonth,1,1.0,30,,Apartment,rent
1367,"BKK 1, Chamkarmon, Phnom Penh","$6,000permonth",10,11.0,,,Villa,rent
1368,"BKK 1, Chamkarmon, Phnom Penh","$12,000permonth",25,25.0,,,Villa,rent
1369,"Tonle Bassac, Chamkarmon, Phnom Penh","$3,000permonth",3,3.0,123,,Apartment,rent
1370,"Tonle Bassac, Chamkarmon, Phnom Penh","$2,500permonth",2,2.0,84,,Apartment,rent
1371,"Tonle Bassac, Chamkarmon, Phnom Penh","$1,400permonth",,,62,,Apartment,rent
1372,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$550permonth,1,1.0,65,,Apartment,rent
1373,"Toul Tum Poung 2, Chamkarmon, Phnom Penh",$350permonth,1,1.0,54,,Apartment,rent
1374,"Chakto Mukh, Daun Penh, Phnom Penh","$2,500permonth",6,11.0,,,Shophouse,rent
1375,"Wat Phnom, Daun Penh, Phnom Penh","$1,250permonth",2,3.0,220,,Apartment,rent
1376,"Phsar Kandal I, Daun Penh, Phnom Penh",$300permonth,1,1.0,64,,Apartment,rent
1377,"BKK 3, Chamkarmon, Phnom Penh",$500permonth,2,1.0,60,,Apartment,rent
1378,"Phsar Kandal I, Daun Penh, Phnom Penh","$1,200permonth",2,2.0,250,,Flat,rent
1379,"Boeng Reang, Daun Penh, Phnom Penh","$1,100permonth",2,2.0,83,,Apartment,rent
1380,"Boeng Reang, Daun Penh, Phnom Penh",$750permonth,1,1.0,58,,Apartment,rent
1381,"Toul Svay Prey 2, Chamkarmon, Phnom Penh",$900permonth,2,2.0,110,,Apartment,rent
1382,"Toul Svay Prey 2, Chamkarmon, Phnom Penh",$600permonth,1,1.0,55,,Apartment,rent
1383,"Chakto Mukh, Daun Penh, Phnom Penh",$800permonth,1,1.0,80,,Apartment,rent
1384,"Phsar Kandal I, Daun Penh, Phnom Penh",$800permonth,2,2.0,70,,Apartment,rent
1385,"Phsar Kandal II, Daun Penh, Phnom Penh",$400permonth,1,1.0,40,,Apartment,rent
1386,"Phsar Kandal II, Daun Penh, Phnom Penh",$320permonth,,1.0,25,,Apartment,rent
1387,"Boeung Trabek, Chamkarmon, Phnom Penh",$850permonth,2,2.0,86,,Apartment,rent
1388,"Boeung Trabek, Chamkarmon, Phnom Penh",$475permonth,,1.0,37,,Apartment,rent
1389,"Boeung Trabek, Chamkarmon, Phnom Penh",$570permonth,1,1.0,50,,Apartment,rent
1390,"Toul Svay Prey 2, Chamkarmon, Phnom Penh","$1,200permonth",2,2.0,98,,Apartment,rent
1391,"Toul Svay Prey 2, Chamkarmon, Phnom Penh",$750permonth,1,1.0,60,,Apartment,rent
1392,"BKK 1, Chamkarmon, Phnom Penh","$8,000permonth",6,5.0,,,Villa,rent
1393," Svay Dankum, Siem Reap, Siem Reap",$600permonth,3,4.0,,,House,rent
1394,"BKK 1, Chamkarmon, Phnom Penh","$12,000permonth",10,,,,Villa,rent
1395," Sla Kram, Siem Reap, Siem Reap",$850permonth,7,8.0,,,House,rent
1396,"Tumnob Tuek, Chamkarmon, Phnom Penh","$850,000permonth",5,4.0,,,Shophouse,rent
1397,"Phsar Daeum Thkov, Chamkarmon, Phnom Penh",$650permonth,2,2.0,90,,Apartment,rent
1398," Toul Tum Poung 1, Chamkarmon, Phnom Penh",$750permonth,2,2.0,65,,Apartment,rent
1399," Tonle Bassac, Chamkarmon, Phnom Penh",$550permonth,1,1.0,45,,Apartment,rent
1400," BKK 2, Chamkarmon, Phnom Penh",$900permonth,2,2.0,80,,Apartment,rent
1401,"Phsar Chas, Daun Penh, Phnom Penh",$400permonth,1,1.0,67,,Apartment,rent
1402,"Boeng Reang, Daun Penh, Phnom Penh",$600permonth,1,2.0,70,,Apartment,rent
1403," Chakto Mukh, Daun Penh, Phnom Penh",$400permonth,1,1.0,30,,Apartment,rent
1404,"Chakto Mukh, Daun Penh, Phnom Penh",$300permonth,1,1.0,48,,Apartment,rent
1405,"Chakto Mukh, Daun Penh, Phnom Penh",$350permonth,2,1.0,48,,Apartment,rent
1406," BKK 1, Chamkarmon, Phnom Penh",$400permonth,1,1.0,35,,Apartment,rent
1407,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$450permonth,2,1.0,50,,Apartment,rent
1408,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$320permonth,1,1.0,30,,Apartment,rent
1409,"BKK 1, Chamkarmon, Phnom Penh","$1,900permonth",3,3.0,,,Apartment,rent
1410,"BKK 1, Chamkarmon, Phnom Penh",$900permonth,2,2.0,,,Apartment,rent
1411," Toul Tum Poung 1, Chamkarmon, Phnom Penh",$380permonth,1,1.0,50,,Apartment,rent
1412,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$400permonth,2,1.0,50,,Apartment,rent
1413," Phsar Kandal I, Daun Penh, Phnom Penh",$300permonth,1,1.0,28,,Apartment,rent
1414," Phsar Kandal I, Daun Penh, Phnom Penh",$400permonth,1,1.0,45,,Apartment,rent
1415,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$300permonth,1,1.0,30,,Apartment,rent
1416,"BKK 3, Chamkarmon, Phnom Penh",$750permonth,2,2.0,70,,Apartment,rent
1417," Toul Tum Poung 1, Chamkarmon, Phnom Penh",$750permonth,2,2.0,,,Apartment,rent
1418,"BKK 3, Chamkarmon, Phnom Penh",$600permonth,1,1.0,61,,Apartment,rent
1419," Tonle Bassac, Chamkarmon, Phnom Penh",$920permonth,1,1.0,,,Apartment,rent
1420,"BKK 3, Chamkarmon, Phnom Penh",$800permonth,2,1.0,68,,Apartment,rent
1421," Boeung Kak 1, Toul Kork, Phnom Penh","$4,200permonth",3,3.0,,,Apartment,rent
1422,Prince Huan Yu Center,$800permonth$700SAVE12.50%,1,1.0,62,,Condo,rent
1423," BKK 1, Chamkarmon, Phnom Penh","$2,500permonth",2,2.0,,,Apartment,rent
1424," BKK 1, Chamkarmon, Phnom Penh","$1,300permonth",2,2.0,,,Apartment,rent
1425," Tonle Bassac, Chamkarmon, Phnom Penh",$600permonth,1,1.0,,,Apartment,rent
1426," Tonle Bassac, Chamkarmon, Phnom Penh",$900permonth,2,1.0,,,Apartment,rent
1427,"Tonle Bassac, Chamkarmon, Phnom Penh",$400permonth,1,1.0,64,,Apartment,rent
1428,"BKK 3, Chamkarmon, Phnom Penh","$1,100permonth",2,2.0,134,,Apartment,rent
1429,"BKK 3, Chamkarmon, Phnom Penh",$850permonth,2,1.0,95,,Apartment,rent
1430,"BKK 3, Chamkarmon, Phnom Penh",$750permonth,1,1.0,79,,Apartment,rent
1431,"BKK 3, Chamkarmon, Phnom Penh",$450permonth,,1.0,45,,Apartment,rent
1432,"BKK 3, Chamkarmon, Phnom Penh",$800permonth,2,2.0,105,,Apartment,rent
1433,"BKK 3, Chamkarmon, Phnom Penh",$650permonth,1,1.0,55,,Apartment,rent
1434,"Toul Tum Poung 2, Chamkarmon, Phnom Penh",$650permonth,2,2.0,110,,Apartment,rent
1435,"BKK 3, Chamkarmon, Phnom Penh",$500permonth,1,1.0,29,,Apartment,rent
1436,"BKK 3, Chamkarmon, Phnom Penh",$700permonth,1,1.0,58,,Apartment,rent
1437,"Tonle Bassac, Chamkarmon, Phnom Penh",$350permonth,1,1.0,44,,Apartment,rent
1438,"Chakto Mukh, Daun Penh, Phnom Penh","$5,000permonth",,4.0,,,Apartment,rent
1439,"Tonle Bassac, Chamkarmon, Phnom Penh",$350permonth,1,1.0,62,,Apartment,rent
1440,"Toul Tum Poung 1, Chamkarmon, Phnom Penh","$2,000permonth",3,4.0,,,House,rent
1441,"Chey Chumneah, Daun Penh, Phnom Penh","$2,500permonth",3,3.0,,,Shophouse,rent
1442,"BKK 1, Chamkarmon, Phnom Penh","$1,600permonth",3,2.0,,,Apartment,rent
1443,"BKK 2, Chamkarmon, Phnom Penh",$650permonth,2,1.0,,,Apartment,rent
1444,"Tumnob Tuek, Chamkarmon, Phnom Penh",$600permonth,2,1.0,,,Condo,rent
1445,"Tonle Bassac, Chamkarmon, Phnom Penh","$1,700permonth",3,2.0,,,Condo,rent
1446,"BKK 2, Chamkarmon, Phnom Penh",$900permonth,2,2.0,120,,Apartment,rent
1447,"BKK 2, Chamkarmon, Phnom Penh",$500permonth,1,1.0,50,,Apartment,rent
1448,"BKK 3, Chamkarmon, Phnom Penh",$450permonth,1,1.0,66,,Apartment,rent
1449,"BKK 3, Chamkarmon, Phnom Penh",$300permonth,1,1.0,60,,Apartment,rent
1450,"Chey Chumneah, Daun Penh, Phnom Penh",$500permonth,2,2.0,70,,Apartment,rent
1451,"Tonle Bassac, Chamkarmon, Phnom Penh","$12,000permonth",17,18.0,,,Apartment,rent
1452,"BKK 1, Chamkarmon, Phnom Penh","$9,000permonth",9,9.0,,493.0,Villa,rent
1453,"BKK 1, Chamkarmon, Phnom Penh","$2,500permonth",8,7.0,,,Flat,rent
1454,"Chakto Mukh, Daun Penh, Phnom Penh","$1,000permonth",2,2.0,,,Apartment,rent
1455,"Chey Chumneah, Daun Penh, Phnom Penh","$1,600permonth",4,5.0,,,Shophouse,rent
1456,"Boeung Kak 1, Toul Kork, Phnom Penh","$4,000permonth",7,9.0,,,Villa,rent
1457,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$650permonth,2,2.0,88,,Apartment,rent
1458,"Toul Tum Poung 1, Chamkarmon, Phnom Penh",$500permonth,2,1.0,88,,Apartment,rent
1459,"Toul Tum Poung 2, Chamkarmon, Phnom Penh",$340permonth,1,1.0,,,Apartment,rent
