,location,price,bedrooms,bathrooms,floors,lands,realestate_category,type
350,"Kampong Svay, Kien Svay, Kandal","$145,000",,,,,Land,buy
351,"Sangkat Pir, Sihanoukville, Sihanoukville","$82,300",1,1.0,40,,Condo,buy
352,"Preaek Tonloab, Leuk Daek, Kandal","$16,000",,,,,Land,buy
353,"Phsar Chas, Daun Penh, Phnom Penh","$1,100,000",4,5.0,,,Apartment,buy
354,"Sangkat Buon, Sihanoukville, Sihanoukville","$580,000",14,,,,Apartment,buy
355,"Preaek Aeng, Chbar Ampov, Phnom Penh",$580/m²,,,,1513.0,Land,buy
356,"Chaom Chau, Por Sen Chey, Phnom Penh",$700/m²,,,,4193.0,Land,buy
357," Khmuonh, Sen Sok, Phnom Penh","$295,000",4,7.0,269,91.0,Shophouse,buy
358,CASA by Meridian,"$175,080",1,1.0,77,,Condo,buy
359,"Chaom Chau, Por Sen Chey, Phnom Penh","$560,000",28,28.0,,,House,buy
360,"Ou Baek K'am, Sen Sok, Phnom Penh","$178,000",,,,,Condo,buy
361,"Boeung Prolit, 7 Makara, Phnom Penh","$90,000",,,,,Condo,buy
362,"Preaek Lieb, Chroy Changvar, Phnom Penh","$260,000",5,6.0,,,House,buy
363,"BKK 1, Chamkarmon, Phnom Penh","$255,000",,,,,Condo,buy
364,"Kandaek, Prasat Bakong, Siem Reap","$50,000",,,,,Land,buy
365,"Boeung Tumpun 2, Meanchey, Phnom Penh","$210,000",4,4.0,,,House,buy
366,"Preaek Aeng, Chbar Ampov, Phnom Penh",$538/m²,,,,,Land,buy
367,"Svay Dankum, Siem Reap, Siem Reap","$198,000",3,3.0,,,Villa,buy
368,"Veal Vong, 7 Makara, Phnom Penh","$185,000",,,,,Condo,buy
369,"Chreav, Siem Reap, Siem Reap","$37,000",,,,,House,buy
370,"Sala Kamraeuk, Siem Reap, Siem Reap","$350,000",,,,,House,buy
371,"Sangkat Sambuor, Siem Reap, Siem Reap","$150,000",2,3.0,,,House,buy
372,"Samrong, Prey Nob, Sihanoukville","$250,000",,,,,Land,buy
373,"Sala Kamraeuk, Siem Reap, Siem Reap","$450,000",6,10.0,,,House,buy
374,"Sala Kamraeuk, Siem Reap, Siem Reap","$1,900,000",11,11.0,,,Villa,buy
375,"Cheung Aek, Dangkao, Phnom Penh","$335,000",4,5.0,,,Twin,buy
376,"Barong, Lvea Aem, Kandal","$125,000",,,,,Land,buy
377,"Chrang Chamres I, Russey Keo, Phnom Penh","$355,000",4,5.0,,,House,buy
378,CASA by Meridian,"$250,000",2,2.0,,,Condo,buy
379," Kouk Chak, Siem Reap, Siem Reap","$180,000",4,5.0,,,House,buy
380,"Chroy Changvar, Chroy Changvar, Phnom Penh","$126,263",,,,,Condo,buy
381,"Russey Keo, Russey Keo, Phnom Penh","$195,000",4,5.0,,,House,buy
382,"Kampong Samnanh, Ta Khmau, Kandal",$450/m²,,,,,Land,buy
383,"Nirouth, Chbar Ampov, Phnom Penh","$930,000",,,,,House,buy
384,"Preaek Pra, Chbar Ampov, Phnom Penh","$30,000",,,,84.0,Land,buy
385,"Veal Vong, 7 Makara, Phnom Penh","$295,000",2,1.0,136,,Condo,buy
386,"Veal Vong, 7 Makara, Phnom Penh","$120,000",1,1.0,46,,Condo,buy
387,"Svay Dankum, Siem Reap, Siem Reap",$850/m²,,,,3500.0,Land,buy
388,"Ovlaok, Por Sen Chey, Phnom Penh",$210/m²,,,,2381.0,Land,buy
389,"Krang Dei Vay, Phnum Sruoch, Kampong Speu","$600,000",,,,,Land,buy
390,"Preaek Anhchanh, Mukh Kampul, Kandal","$125,000",,,,,House,buy
391,"Ta Khmao, Ta Khmau, Kandal","$65,000",,,,,Land,buy
392,"Bak Kaeng, Chroy Changvar, Phnom Penh",$650/m²,,,,,Land,buy
393,"Ou Baek K'am, Sen Sok, Phnom Penh","$160,000",2,2.0,,,Condo,buy
394,"Akphivoadth, Tuek Phos, Kampong Chhnang",$19/m²,,,,,Apartment,buy
395,"Chaom Chau 2, Por Sen Chey, Phnom Penh","$85,000",,,,,House,buy
396,"Trapeang Thum, Prasat Bakong, Siem Reap","$860,000",,,,,Land,buy
397,"Chaom Chau, Por Sen Chey, Phnom Penh","$55,000",,,,,Land,buy
398,"Chroy Changvar, Chroy Changvar, Phnom Penh","$1,300/m²",,,,,Villa,buy
399,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$9,873,600",,,,8228.0,Land,buy
400,"Boeung Tumpun, Meanchey, Phnom Penh","$550,000",3,3.0,,,House,buy
401,"Cheung Aek, Dangkao, Phnom Penh","$1,200/m²",,,,1400.0,Land,buy
402,"Tuol Prech, Angk Snuol, Kandal","$9,999",,,,,Land,buy
403,Royal Park Condo,"$53,000",,,,,Condo,buy
404,"Bak Kaeng, Chroy Changvar, Phnom Penh","$250,000",3,3.0,,,Villa,buy
405,"Ta Kdol, Ta Khmau, Kandal","$120,000",,,,,House,buy
406,"Kandaek, Prasat Bakong, Siem Reap",$175/m²,,,,,Land,buy
407,"Kandaek, Prasat Bakong, Siem Reap",$122/m²,,,,,Land,buy
408,"Banteay Chhmar, Thma Puok, Banteay Meanchey",$13/m²,,,,,Land,buy
409,"Banteay Chhmar, Thma Puok, Banteay Meanchey",$6/m²,,,,94726.0,Land,buy
410,"Svay Rumpear, Kampong Leaeng, Kampong Chhnang",$25/m²,,,,,Land,buy
411,"Wat Phnom, Daun Penh, Phnom Penh","$800,000",5,6.0,,,House,buy
412,"Khmuonh, Sen Sok, Phnom Penh","$262,000",4,5.0,,,House,buy
413,"Chak Angrae Kraom, Meanchey, Phnom Penh","$190,000",5,4.0,,,House,buy
414,"Svay Chrum, Khsach Kandal, Kandal","$58,000",3,,,,House,buy
415,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$250,000",,,,,House,buy
416,"Chaom Chau, Por Sen Chey, Phnom Penh","$55,000",2,2.0,,,House,buy
417,"Preaek Anhchanh, Mukh Kampul, Kandal","$55,000",2,3.0,,,House,buy
418,"Dangkao, Dangkao, Phnom Penh","$78,000",4,6.0,,,House,buy
419,"Preaek Ta Sek, Chroy Changvar, Phnom Penh","$255,000",4,5.0,,,Twin,buy
420,"Phsar Thmei II, Daun Penh, Phnom Penh","$495,000",,,,,House,buy
421,"Veang Chas, Odongk, Kampong Speu",$65/m²,,,,314200.0,Land,buy
422,"Kampong Trach Khang Lech, Kampong Trach, Kampot",$30/m²,,,,,Land,buy
423,"Nirouth, Chbar Ampov, Phnom Penh","$147,000",4,5.0,,,House,buy
424,"Kamboul, Por Sen Chey, Phnom Penh","$76,500",4,5.0,,,House,buy
425,"Por Sen Chey, Phnom Penh","$85,000",2,3.0,,,House,buy
426,"Boeung Salang, Toul Kork, Phnom Penh","$290,000",6,6.0,,,House,buy
427,"Boeung Salang, Toul Kork, Phnom Penh","$165,000",2,2.0,,,House,buy
428,"Sla Kram, Siem Reap, Siem Reap","$1,800,000",8,10.0,,,Shophouse,buy
429,"Kouk Chak, Siem Reap, Siem Reap","$985,000",30,,360,621.0,House,buy
430," Svay Dankum, Siem Reap, Siem Reap","$63,960",,,,492.0,Land,buy
431," Svay Dankum, Siem Reap, Siem Reap","$210,000",3,,,,House,buy
432," Svay Dankum, Siem Reap, Siem Reap","$249,000",3,3.0,,800.0,House,buy
433," Kandaek, Prasat Bakong, Siem Reap","$31,482",,,,594.0,Land,buy
434," Sla Kram, Siem Reap, Siem Reap",$100/m²,,,,2108.0,Land,buy
435," Chreav, Siem Reap, Siem Reap",$120/m²,,,,,Land,buy
436,"Kamboul, Por Sen Chey, Phnom Penh","$99,800",4,4.0,,,House,buy
437,"Chhveang, Ponhea Lueu, Kandal","$26,000",,,,200.0,Land,buy
438,"Preaek Kampues, Dangkao, Phnom Penh",$550/m²,,,,9000.0,Land,buy
439,"Chbar Ampov, Phnom Penh","$60,000",1,1.0,,,Condo,buy
440,"Ream, Prey Nob, Sihanoukville","$500,000",,,1000,1000.0,Land,buy
441,"Kien Sangkae, Sout Nikom, Siem Reap",$13/m²,,,9114,9114.0,Land,buy
442,"Ponsang, Prek Pnov, Phnom Penh",$160/m²,,,1400,1400.0,Land,buy
443,"Krang Thnong, Sen Sok, Phnom Penh","$180,000",,,196,196.0,Land,buy
444,"Chaom Chau, Por Sen Chey, Phnom Penh","$200,000",34,34.0,280,,House,buy
445,"Dangkao, Dangkao, Phnom Penh","$70,000",3,3.0,74,100.0,House,buy
446,"Kampong Luong, Ponhea Lueu, Kandal","$80,000",,,,192.0,Land,buy
447,"Kampong Luong, Ponhea Lueu, Kandal","$120,000",,,,378.0,Land,buy
448,"Amleang, Thpong, Kampong Speu","$130,000",,,,23800.0,Land,buy
449,"Amleang, Thpong, Kampong Speu",$25/m²,,,,4625.0,Land,buy
450,"Chakto Mukh, Daun Penh, Phnom Penh","$200,000",2,3.0,140,,House,buy
451,"Boeung Kak 2, Toul Kork, Phnom Penh","$186,000",1,2.0,55,,Shophouse,buy
452,"Veal Vong, 7 Makara, Phnom Penh","$165,000",2,1.0,,,Condo,buy
453,"Mkak, Angk Snuol, Kandal","$20,000",,,,200.0,Land,buy
454,"Stueng Mean chey, Meanchey, Phnom Penh","$249,000",4,5.0,80,96.0,House,buy
455,"Mean Chey, Odongk, Kampong Speu","$18,000",,,,,Land,buy
456,"Ruessei Chrouy, Mukh Kampul, Kandal","$540,000",,,,,Land,buy
457,"Takaen, Chhuk, Kampot",$4/m²,,,,,Land,buy
458,"Chan Saen, Odongk, Kampong Speu","$12,000",,,,,Land,buy
459,"Vihear Suork, Khsach Kandal, Kandal","$15,000",,,,,Land,buy
460,"Tuek L'ak 3, Toul Kork, Phnom Penh","$285,000",,,,,House,buy
461,"Phnom Penh, Phnom Penh","$56,000",4,5.0,,,House,buy
462,Royal Park Condo,"$73,000",1,1.0,,,Condo,buy
463,"Boeung Kak 2, Toul Kork, Phnom Penh",POA,1,1.0,,,CondoPOA,buy
464,Royal Park Condo,"$70,000",1,1.0,,,Condo,buy
465,"Koun Satv, Tuek Chhou, Kampot",$19/m²,,,,60000.0,Land,buy
466,"Koh Dach, Chroy Changvar, Phnom Penh","$170,000",,,,,Land,buy
467," Chrang Chamres I, Russey Keo, Phnom Penh","$210,000",4,5.0,69,118.0,Villa,buy
468,"Preah Srae, Odongk, Kampong Speu",$50/m²,,,,116622.0,Land,buy
469,"Stueng Mean chey, Meanchey, Phnom Penh","$88,000",,,259,259.0,Land,buy
470,"Kantaok, Por Sen Chey, Phnom Penh","$60,000",,,,190.0,Land,buy
471,"Boeung Tumpun, Meanchey, Phnom Penh","$480,000",1,2.0,,235.0,House,buy
472,"Preaek Kampues, Dangkao, Phnom Penh","$115,000",4,5.0,50,,House,buy
473,"Ou Baek K'am, Sen Sok, Phnom Penh","$670,000",6,4.0,135,210.0,House,buy
474,"Nirouth, Chbar Ampov, Phnom Penh","$380,000",4,5.0,73,184.0,Twin,buy
475,"Andoung Khmer, Kampot, Kampot","$29,000",,,,105.0,Land,buy
476,"Boeung Kak 2, Toul Kork, Phnom Penh","$140,000",3,2.0,64,,Condo,buy
477,"Prey Sa, Dangkao, Phnom Penh","$76,877",2,3.0,56,,House,buy
478,"Chrang Chamres 2, Russey Keo, Phnom Penh","$380,000",4,6.0,175,,House,buy
479,"Ampil Ta Pok, Ou Reang Ov, Tboung Khmum","$49,900",2,1.0,67,,House,buy
480,"Phsar Chas, Daun Penh, Phnom Penh","$85,000",1,1.0,68,,House,buy
481,"Veal Sbov, Chbar Ampov, Phnom Penh","$245,000",4,5.0,200,,Twin,buy
482,"Svay Rieng, Svay Rieng, Svay Rieng",$726/m²,,,,551.0,Land,buy
483,"Makprang, Tuek Chhou, Kampot",$12/m²,,,,10486.0,Land,buy
484,"Srae Chea Khang Tboung, Dang Tong, Kampot",$4/m²,,,,139534.0,Land,buy
485,De Castle Diamond Condominium,"$337,200",4,4.0,281,,Condo,buy
486,De Castle Diamond Condominium,"$365,300",4,4.0,281,,Condo,buy
487,De Castle Diamond Condominium,"$3,552,450",,,3230,,Condo,buy
488,De Castle Diamond Condominium,"$365,300",4,4.0,281,,Condo,buy
489,De Castle Diamond Condominium,"$337,200",4,4.0,281,,Condo,buy
490,De Castle Diamond Condominium,"$320,600",3,3.0,229,,Condo,buy
491,De Castle Diamond Condominium,"$274,800",3,3.0,229,,Condo,buy
492,De Castle Diamond Condominium,"$351,400",3,3.0,251,,Condo,buy
493,De Castle Diamond Condominium,"$326,300",3,3.0,251,,Condo,buy
494,De Castle Diamond Condominium,"$326,300",3,3.0,251,,Condo,buy
495,De Castle Diamond Condominium,"$351,400",3,3.0,251,,Condo,buy
496,De Castle Diamond Condominium,"$210,000",2,2.0,150,,Condo,buy
497,De Castle Diamond Condominium,"$210,000",2,2.0,150,,Condo,buy
498,De Castle Diamond Condominium,"$160,300",1,1.0,114,,Condo,buy
499,De Castle Diamond Condominium,"$160,300",1,1.0,114,,Condo,buy
500,De Castle Diamond Condominium,"$160,300",1,1.0,114,,Condo,buy
501,"Kaoh Rung, Sihanoukville, Sihanoukville",$850/m²,,,8361,8361.0,Land,buy
502,"Boeung Tumpun, Meanchey, Phnom Penh","$140,000",4,5.0,,,House,buy
503,"Boeung Kak 1, Toul Kork, Phnom Penh","$95,000",2,,41,,Condo,buy
504,"Chey Chumneah, Daun Penh, Phnom Penh","$800,000",2,5.0,66,,House,buy
505,"Chakto Mukh, Daun Penh, Phnom Penh","$10,000/m²",,,15882,,Land,buy
506,"Preaek Aeng, Chbar Ampov, Phnom Penh","$290,000",4,4.0,413,,Villa,buy
507,"Kouk Roka, Prek Pnov, Phnom Penh","$180,000",4,5.0,,,House,buy
508,"Dei Edth, Kien Svay, Kandal","$1,300,000",,,,,House,buy
509,"Nirouth, Chbar Ampov, Phnom Penh","$230,000",4,5.0,203,,House,buy
510,"Kamboul, Por Sen Chey, Phnom Penh","$55,000",,,49,,House,buy
511,"Veal Vong, 7 Makara, Phnom Penh","$160,000",,,,,Apartment,buy
512,"Toul Kork, Phnom Penh","$980,000",,,144,,Villa,buy
513,"Svay Chrum, Khsach Kandal, Kandal","$55,000",,,80,,Villa,buy
514,"Tuek Thla, Sen Sok, Phnom Penh","$1,500,000",,,741,,House,buy
515,"Boeung Kak 1, Toul Kork, Phnom Penh","$175,000",,,48,,Shophouse,buy
516,"Preaek Pra, Chbar Ampov, Phnom Penh","$750,000",,,187,,House,buy
517,"Toul Kork, Phnom Penh","$600,000",,,108,,Villa,buy
518,"Siem Reap, Siem Reap","$65,000",,,59,,House,buy
519,"Dangkao, Phnom Penh","$105,000",,,50,,House,buy
520,"Nirouth, Chbar Ampov, Phnom Penh","$148,000",,,39,,Link,buy
521,"Chrang Chamres 2, Russey Keo, Phnom Penh","$193,000",,,69,,Link,buy
522,"Chaom Chau, Por Sen Chey, Phnom Penh","$69,000",,,,,Link,buy
523,"Preaek Aeng, Chbar Ampov, Phnom Penh","$195,000",,,264,,Villa,buy
524," Sla Kram, Siem Reap, Siem Reap","$320,000",6,8.0,,262.0,House,buy
525,"Sen Sok, Phnom Penh","$355,000",,,79,,Twin,buy
526,"Preaek Aeng, Chbar Ampov, Phnom Penh","$145,000",,,62,,House,buy
527,"Kouk Khleang, Sen Sok, Phnom Penh","$49,000",,,50,,House,buy
528,"Chaom Chau, Por Sen Chey, Phnom Penh","$30,000",,,,,House,buy
529,"Por Sen Chey, Phnom Penh","$168,000",,,66,,Shophouse,buy
530,"Chreav, Siem Reap, Siem Reap","$330,000",,,300,,Villa,buy
531,"Tuek Thla, Sen Sok, Phnom Penh","$110,000",,,50,,Condo,buy
532,"Por Sen Chey, Phnom Penh","$150,000",,,63,,Shophouse,buy
533,"Nirouth, Chbar Ampov, Phnom Penh","$155,000",,,,,Shophouse,buy
534,"Nirouth, Chbar Ampov, Phnom Penh","$130,000",,,42,,Shophouse,buy
535,"Veal Vong, 7 Makara, Phnom Penh","$125,000",1,1.0,47,,Flat,buy
536,"Kandal Stueng, Kandal","$45,000",,,2192,,Land,buy
537,"Nirouth, Chbar Ampov, Phnom Penh","$3,900,000",,,346,,Villa,buy
538,"Sla Kram, Siem Reap, Siem Reap","$250,000",,,384,,House,buy
539,"Dangkao, Phnom Penh","$86,000",,,64,,House,buy
540,"Dangkao, Phnom Penh","$80,000",,,64,,House,buy
541,"Dangkao, Phnom Penh","$235,000",,,64,,House,buy
542,"Samraong Kraom, Por Sen Chey, Phnom Penh","$97,880",,,200,,House,buy
543,"Lvea Aem, Kandal","$380,000",,,1500,,Land,buy
544,"Lvea Aem, Kandal","$280,000",,,1400,,Land,buy
545,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$240,000",,,147,,Twin,buy
546,"Krang Thnong, Sen Sok, Phnom Penh","$98,000",,,49,,Shophouse,buy
547,"Sala Kamraeuk, Siem Reap, Siem Reap","$76,000",,,280,,House,buy
548,"Por Sen Chey, Phnom Penh","$43,800",,,75,,House,buy
549,"Chrang Chamres I, Russey Keo, Phnom Penh","$179,000",,,,,House,buy
550,"Ta Khmao, Ta Khmau, Kandal","$750,000",,,622,,Villa,buy
551,"Phnom Penh, Phnom Penh","$31,980",,,43,,House,buy
552,"Prey Sa, Dangkao, Phnom Penh","$70,000",,,,,House,buy
553,"Svay Por, Battambang, Battambang","$180,000",,,99,,House,buy
554,"Khnar Pou, Sout Nikom, Siem Reap","$975,000",,,13,,Land,buy
555,"Ballangk, Prasat Bakong, Siem Reap","$5,300,000",,,53,,Land,buy
556,"Peak Sneng, Angkor Thum, Siem Reap","$250,000",,,25,,Land,buy
557,"Chrang Chamres 2, Russey Keo, Phnom Penh","$299,999",,,72,,Twin,buy
558,"Toul Tum Poung 1, Chamkarmon, Phnom Penh","$74,000",,,49,,Condo,buy
559,"Toul Kork, Phnom Penh","$54,000",,,,,Condo,buy
560,"Ta Khmao, Ta Khmau, Kandal","$108,000",,,180,,House,buy
561,"S'ang, Kandal","$90,000",,,200,,House,buy
562,"Sala Kamraeuk, Siem Reap, Siem Reap","$260,000",,,96,,House,buy
563,"Por Sen Chey, Phnom Penh","$59,500",,,49,,House,buy
564,"Ta Khmao, Ta Khmau, Kandal","$440,000",,,96,,Villa,buy
565,"Preaek Thmei, Chbar Ampov, Phnom Penh","$46,000",,,49,,House,buy
566,"Russey Keo, Phnom Penh","$75,500",,,52,,House,buy
567,"Por Sen Chey, Phnom Penh","$99,000",,,,,House,buy
568,"Toul Kork, Phnom Penh","$1,900,000",,,320,,Villa,buy
569,"Chaom Chau, Por Sen Chey, Phnom Penh","$45,000",,,32,,House,buy
570,"Kampot, Kampot","$6,500",,,629,,Land,buy
571,"Nirouth, Chbar Ampov, Phnom Penh","$1,399,000",,,144,,Villa,buy
572,"Olympic, Chamkarmon, Phnom Penh","$300,000",3,,127,,Condo,buy
573,"Boeung Tumpun, Meanchey, Phnom Penh","$63,000",1,1.0,47,,Condo,buy
574,"Khmuonh, Sen Sok, Phnom Penh","$600,000",,,300,,Villa,buy
575,"S'ang, Kandal","$33,000",,,33,,Shophouse,buy
576,"Chbar Ampov, Phnom Penh","$188,000",,,100,,Villa,buy
577,"Boeung Tumpun, Meanchey, Phnom Penh","$53,000",1,1.0,47,,Condo,buy
578,"Dangkao, Phnom Penh","$195,000",,,64,,House,buy
579,"Toul Kork, Phnom Penh","$350,000",,,70,,Shophouse,buy
580,"Dangkao, Phnom Penh","$145,000",,,50,,Shophouse,buy
581,"Odongk, Kampong Speu","$55,000",,,88,,Villa,buy
582,"Chreav, Siem Reap, Siem Reap","$38,500",,,,,House,buy
583,"Chak Angrae Kraom, Meanchey, Phnom Penh","$265,000",,,54,,House,buy
584,"Siem Reap, Siem Reap","$70,000",,,56,,House,buy
585,"Chaom Chau, Por Sen Chey, Phnom Penh","$67,000",,,,,Twin,buy
586,Urban Village Phase 1,"$120,000",2,1.0,53,,Condo,buy
587,"Chroy Changvar, Phnom Penh","$150,000",,,80,,Villa,buy
588,"Krang Thnong, Sen Sok, Phnom Penh","$230,000",,,66,,Shophouse,buy
589,"Preaek Pnov, Prek Pnov, Phnom Penh","$50,999",,,48,,House,buy
590,"Krang Thnong, Sen Sok, Phnom Penh","$56,880",,,50,,House,buy
591,"Sihanoukville, Sihanoukville","$200,000",,,154,,Villa,buy
592,"Prek Ho, Ta Khmau, Kandal","$600,000",,,324,,Villa,buy
593,"Kampot, Kampot","$800,000",,,800,,Land,buy
594,"Chak Angrae Kraom, Meanchey, Phnom Penh","$160,000",,,66,,House,buy
595,"Dangkao, Phnom Penh","$215,000",,,104,,Villa,buy
596,"Kampong Kraeng, Tuek Chhou, Kampot","$500,000",,,1115,,Land,buy
597,"Meanchey, Phnom Penh","$199,000",,,60,,House,buy
598,"Russey Keo, Phnom Penh","$210,000",,,72,,Villa,buy
599,"Kaoh Thum, Kandal","$9,500",,,900,,Land,buy
600,"Sangkat Muoy, Sihanoukville, Sihanoukville","$650,000",,,307,,Villa,buy
601,"Tumnob Tuek, Chamkarmon, Phnom Penh","$590,000",,,117,,Shophouse,buy
602,"Chaom Chau, Por Sen Chey, Phnom Penh","$92,000",,,42,,House,buy
603,"Boeung Tumpun, Meanchey, Phnom Penh","$65,000",,,48,,House,buy
604,"BKK 1, Chamkarmon, Phnom Penh","$175,000",,,50,,Studio,buy
605,"Dangkao, Phnom Penh","$52,000",,,54,,House,buy
606,"Sla Kram, Siem Reap, Siem Reap","$80,000",,,108,,House,buy
607,"Sla Kram, Siem Reap, Siem Reap","$135,000",,,78,,Shophouse,buy
608,"Ta Khmao, Ta Khmau, Kandal","$350,000",,,1380,,Land,buy
609,"Chreav, Siem Reap, Siem Reap","$29,500",,,61,,House,buy
610,"Chak Angrae Leu, Meanchey, Phnom Penh","$145,000",,,37,,House,buy
611,"Kamboul, Por Sen Chey, Phnom Penh","$45,000",,,69,,House,buy
612,"Tuek Thla, Sen Sok, Phnom Penh","$50,000",,,60,,Condo,buy
613,"Por Sen Chey, Phnom Penh","$180,000",,,64,,Shophouse,buy
614,"Chaom Chau, Por Sen Chey, Phnom Penh","$48,000",,,55,,House,buy
615,"Tuol Sangke, Russey Keo, Phnom Penh","$160,000",,,360,,Land,buy
616,"Tuek L'ak 3, Toul Kork, Phnom Penh","$830,000",,,76,,House,buy
617,"Tuol Sangke, Russey Keo, Phnom Penh","$188,000",,,66,,House,buy
618,"Dangkao, Phnom Penh","$750,000",,,336,,Shophouse,buy
619,"Kamboul, Por Sen Chey, Phnom Penh","$75,000",,,64,,House,buy
620,"Sen Sok, Phnom Penh","$67,000",,,57,,Condo,buy
621,"Dangkao, Phnom Penh","$65,000",,,49,,House,buy
622,"Boeng Kak 2, Toul Kork, Phnom Penh","$56,000",1,1.0,28,,Condo,buy
623,"Siem Reap, Siem Reap","$75,000",,,48,,House,buy
624,"Prey Nheat, Kong Pisei, Kampong Speu","$270,000",,,104,,Villa,buy
625,"Dangkao, Phnom Penh","$58,900",,,,,House,buy
626,"Poipet, Poipet, Banteay Meanchey","$160,000",,,84,,Villa,buy
627,"Tuol Sangke, Russey Keo, Phnom Penh","$105,333",,,66,,House,buy
628,"Preaek Lieb, Chroy Changvar, Phnom Penh","$148,000",,,48,,Villa,buy
629,"Sla Kram, Siem Reap, Siem Reap","$350,000",,,,,Apartment,buy
630,"Dangkao, Phnom Penh","$170,000",,,395,,Land,buy
631,"Chaom Chau, Por Sen Chey, Phnom Penh","$129,000",,,56,,House,buy
632,"Stueng Mean chey, Meanchey, Phnom Penh","$36,800",,,,,House,buy
633,"Phleung Chheh Roteh, Por Sen Chey, Phnom Penh","$100,000",,,,,House,buy
634,"Dangkao, Phnom Penh","$55,555",,,66,,House,buy
635,"Kamboul, Por Sen Chey, Phnom Penh","$42,500",,,50,,House,buy
636,"Toul Kork, Phnom Penh","$1,700,000",,,160,,Villa,buy
637,"Chrang Chamres 2, Russey Keo, Phnom Penh","$320,000",,,78,,Villa,buy
638,"Meanchey, Phnom Penh","$59,000",,,68,,House,buy
639,"Tuek L'ak 1, Toul Kork, Phnom Penh","$450,000",,,88,,House,buy
640,"Kouk Roka, Prek Pnov, Phnom Penh","$400,000",,,185,,Shophouse,buy
641,"Nirouth, Chbar Ampov, Phnom Penh","$200,000",,,270,,House,buy
642,"Krang Thnong, Sen Sok, Phnom Penh","$68,000",,,48,,House,buy
643,"Tuek Chhou, Kampot","$550,000",,,5,,Land,buy
644,"Lvea Aem, Kandal","$95,000",,,636,,Land,buy
645,"Tuek Chhou, Kampot","$28,000",,,300,,Land,buy
646,"Krang Thnong, Sen Sok, Phnom Penh","$390,000",,,600,,Land,buy
647,"Cheung Aek, Dangkao, Phnom Penh","$79,000",,,200,,Land,buy
648,"Stueng Mean chey, Meanchey, Phnom Penh","$210,000",,,240,,House,buy
649,"Sangkat Pir, Sihanoukville, Sihanoukville","$650,000",,,307,,Villa,buy
650,"Tuol Sangke, Russey Keo, Phnom Penh","$165,000",,,198,,House,buy
651,"Sla Kram, Siem Reap, Siem Reap","$64,000",,,60,,House,buy
652,"Chaom Chau, Por Sen Chey, Phnom Penh","$60,000",,,151,,Land,buy
653,"Kronhoung Saen Chey, Snuol, Kratie","$20,000",,,2,,Land,buy
654,"Nirouth, Chbar Ampov, Phnom Penh","$140,000",,,42,,Shophouse,buy
655,"Kakab 1, Por Sen Chey, Phnom Penh","$325,000",,,99,,Shophouse,buy
656,"Ou Baek K'am, Sen Sok, Phnom Penh","$205,000",,,56,,House,buy
657,"Toul Kork, Phnom Penh","$65,000",,,45,,Flat,buy
658,"Preaek Kampues, Dangkao, Phnom Penh","$150,000",,,600,,Land,buy
659,"Sangkat Bei, Sihanoukville, Sihanoukville","$320,000",,,200,,House,buy
660,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$270,000",,,72,,Twin,buy
661,"Por Sen Chey, Phnom Penh","$55,000",,,33,,House,buy
662,"Otdam Soriya, Tram Kak, Takeo","$75,000",,,2079,,Land,buy
663,"Phnom Penh Thmey, Sen Sok, Phnom Penh","$315,000",,,72,,Twin,buy
664,"Svay Dankum, Siem Reap, Siem Reap","$135,000",,,80,,Shophouse,buy
665,"Nirouth, Chbar Ampov, Phnom Penh","$1,380,000",,,144,,Villa,buy
666,"Snaor, Por Sen Chey, Phnom Penh","$68,000",,,67,,Shophouse,buy
667,"Pong Tuek, Dangkao, Phnom Penh","$69,995",,,63,,House,buy
668,"Prey Sa, Dangkao, Phnom Penh","$135,000",,,66,,House,buy
669,"Boeung Tumpun, Meanchey, Phnom Penh","$155,000",,,120,,House,buy
670,"Ponhea Lueu, Kandal","$48,000",,,1253,,Land,buy
671,"Toul Kork, Phnom Penh","$179,999",,,75,,Condo,buy
672,"Phum Thum, Kien Svay, Kandal","$39,900",,,,,House,buy
673,"Dangkao, Phnom Penh","$47,500",,,50,,House,buy
674,"Dangkao, Phnom Penh","$75,000",,,67,,House,buy
675,"Nirouth, Chbar Ampov, Phnom Penh","$850,000",,,54,,House,buy
676,"Siem Reap, Siem Reap","$99,000",,,273,,House,buy
677,"Por Sen Chey, Phnom Penh","$120,000",,,64,,House,buy
678,"Sangkat Buon, Sihanoukville, Sihanoukville","$185,000",,,63,,Shophouse,buy
679,"Krang Thnong, Sen Sok, Phnom Penh","$68,000",,,,,House,buy
680,"Por Sen Chey, Phnom Penh","$280,000",,,72,,Twin,buy
681,"Nirouth, Chbar Ampov, Phnom Penh","$398,000",,,90,,Twin,buy
682,"Chrang Chamres 2, Russey Keo, Phnom Penh","$198,000",,,68,,House,buy
683,"Sen Sok, Phnom Penh","$95,000",,,75,,House,buy
684,"Preaek Lieb, Chroy Changvar, Phnom Penh","$299,000",,,72,,Twin,buy
685,"Tuek Chhou, Kampot","$123,888",,,,,House,buy
686,"Chreav, Siem Reap, Siem Reap","$120,000",,,85,,House,buy
